outer_days,strategy,station,date,lead_day,observed_mm,old_physical_mm,new_physical_mm,old_mean_mm,new_mean_mm,physical_change_mm,correction_change_mm,total_change_mm
432,P0,ATU1,2017-09-06,1,208.1751952457818,127.97708345664897,203.86035408967788,127.97708345664897,203.86035408967788,75.88327063302891,0.0,75.88327063302891
432,P0,ATU1,2017-09-07,2,214.3650412350557,128.3302733749021,205.08232627125773,128.3302733749021,205.08232627125773,76.75205289635562,0.0,76.75205289635562
432,P0,ATU1,2017-09-08,3,220.811027907377,128.75295371819675,206.26624089822715,128.75295371819675,206.26624089822715,77.5132871800304,0.0,77.5132871800304
432,P0,ATU1,2017-09-09,4,227.4844488497493,129.2450035607677,207.4924766809806,129.2450035607677,207.4924766809806,78.24747312021287,0.0,78.24747312021287
432,P0,ATU1,2017-09-10,5,234.3565976491762,129.76462930253516,208.6717392950397,129.76462930253516,208.6717392950397,78.90710999250456,0.0,78.90710999250456
432,P0,ATU1,2017-09-11,6,241.3987678926611,130.2939066147847,209.74900652885896,130.2939066147847,209.74900652885896,79.45509991407425,0.0,79.45509991407425
432,P0,ATU1,2017-09-12,7,248.5822531672076,130.8267040822012,210.71143766159108,130.8267040822012,210.71143766159108,79.88473357938989,0.0,79.88473357938989
432,P0,ATU1,2017-09-13,8,255.8783470598191,131.36386638948798,211.59187480414928,131.36386638948798,211.59187480414928,80.2280084146613,0.0,80.2280084146613
432,P0,ATU1,2017-09-14,9,263.2583431574994,131.90992956092964,212.4550112839314,131.90992956092964,212.4550112839314,80.54508172300177,0.0,80.54508172300177
432,P0,ATU1,2017-09-15,10,270.6935350472519,132.46055183028258,213.26633887702604,132.46055183028258,213.26633887702604,80.80578704674346,0.0,80.80578704674346
432,P0,ATU1,2017-09-16,11,278.1552163160802,133.01553838331404,214.02445562921588,133.01553838331404,214.02445562921588,81.00891724590184,0.0,81.00891724590184
432,P0,ATU1,2017-09-17,12,285.6146805509877,133.61920835276092,215.4317359935505,133.61920835276092,215.4317359935505,81.81252764078957,0.0,81.81252764078957
432,P0,ATU1,2017-09-18,13,293.0432213389781,134.2539933199758,217.07893680905562,134.2539933199758,217.07893680905562,82.82494348907983,0.0,82.82494348907983
432,P0,ATU1,2017-09-19,14,300.4121322670549,134.9196354308665,219.68858965423527,134.9196354308665,219.68858965423527,84.76895422336878,0.0,84.76895422336878
432,P0,ATU1,2017-09-20,15,307.6927069222214,135.61158279723992,223.99920361990337,135.61158279723992,223.99920361990337,88.38762082266345,0.0,88.38762082266345
432,P0,ATU1,2017-09-21,16,314.8562388914816,136.32605011465495,229.81918081509667,136.32605011465495,229.81918081509667,93.49313070044172,0.0,93.49313070044172
432,P0,ATU1,2017-09-22,17,321.8740217618386,137.06705048848238,237.26800164268576,137.06705048848238,237.26800164268576,100.20095115420338,0.0,100.20095115420338
432,P0,ATU1,2017-09-23,18,328.7173491202961,137.9725172135286,247.3233252791839,137.9725172135286,247.3233252791839,109.35080806565531,0.0,109.35080806565531
432,P0,ATU1,2017-09-24,19,335.3575145538578,139.3036451680467,260.7678829362939,139.3036451680467,260.7678829362939,121.46423776824722,0.0,121.46423776824722
432,P0,ATU1,2017-09-25,20,341.765811649527,141.32679005712782,277.9013643873382,141.32679005712782,277.9013643873382,136.5745743302104,0.0,136.5745743302104
432,P0,ATU1,2017-09-26,21,347.9135339943073,143.91526252607488,292.4074000981769,143.91526252607488,292.4074000981769,148.492137572102,0.0,148.492137572102
432,P0,ATU1,2017-09-27,22,353.7719751752024,146.80856121897355,302.4804531350569,146.80856121897355,302.4804531350569,155.67189191608335,0.0,155.67189191608335
432,P0,ATU1,2017-09-28,23,359.3124287792156,149.76435221877642,309.6477859254817,149.76435221877642,309.6477859254817,159.88343370670526,0.0,159.88343370670526
432,P0,ATU1,2017-09-29,24,364.5061883933506,152.5815764595306,314.8728602808245,152.5815764595306,314.8728602808245,162.29128382129392,0.0,162.29128382129392
432,P0,ATU1,2017-09-30,25,369.3245476046109,155.2328045209737,318.8909702536986,155.2328045209737,318.8909702536986,163.65816573272488,0.0,163.65816573272488
432,P0,ATU1,2017-10-01,26,373.7388,157.7781102803644,322.2254020258652,157.7781102803644,322.2254020258652,164.44729174550082,0.0,164.44729174550082
432,P0,ATU1,2017-10-02,27,377.7280004818759,160.2151054591393,325.1288736325467,160.2151054591393,325.1288736325467,164.9137681734074,0.0,164.9137681734074
432,P0,ATU1,2017-10-03,28,381.3022492140143,162.53614546113644,327.7072926483325,162.53614546113644,327.7072926483325,165.17114718719606,0.0,165.17114718719606
432,P0,ATU1,2017-10-04,29,384.4794076755452,164.743610989884,329.9877056047848,164.743610989884,329.9877056047848,165.24409461490083,0.0,165.24409461490083
432,P0,ATU1,2017-10-05,30,387.2773373455989,166.84210979765135,331.94934318371213,166.84210979765135,331.94934318371213,165.10723338606078,0.0,165.10723338606078
432,P0,ATU1,2017-10-06,31,389.7138997033052,168.83934077184293,333.6246981952441,168.83934077184293,333.6246981952441,164.78535742340117,0.0,164.78535742340117
432,P0,ATU1,2017-10-07,32,391.8069562277945,170.74224933816686,335.0554616637489,170.74224933816686,335.0554616637489,164.31321232558201,0.0,164.31321232558201
432,P0,ATU1,2017-10-08,33,393.5743683981967,172.5605304373322,336.33349192157914,172.5605304373322,336.33349192157914,163.77296148424693,0.0,163.77296148424693
432,P0,ATU1,2017-10-09,34,395.033997693642,174.23350480502742,336.7901733574145,174.23350480502742,336.7901733574145,162.5566685523871,0.0,162.5566685523871
432,P0,ATU1,2017-10-10,35,396.2037055932605,175.76895733815067,336.80339020836635,175.76895733815067,336.80339020836635,161.03443287021568,0.0,161.03443287021568
432,P0,ATU1,2017-10-11,36,397.1013535761821,177.17728386653536,336.6463197746506,177.17728386653536,336.6463197746506,159.46903590811522,0.0,159.46903590811522
432,P0,ATU1,2017-10-12,37,397.7448031215372,178.46851349301858,336.4562450942576,178.46851349301858,336.4562450942576,157.98773160123903,0.0,157.98773160123903
432,P0,ATU1,2017-10-13,38,398.1519157084558,179.6519600024131,336.29206295482186,179.6519600024131,336.29206295482186,156.64010295240877,0.0,156.64010295240877
432,P0,ATU1,2017-10-14,39,398.3405528160679,180.73622502962507,336.1735400182607,180.73622502962507,336.1735400182607,155.43731498863565,0.0,155.43731498863565
432,P0,ATU1,2017-10-15,40,398.3285759235036,181.72924508411444,336.10244212410544,181.72924508411444,336.10244212410544,154.373197039991,0.0,154.373197039991
432,P0,ATU1,2017-10-16,41,398.1338465098932,182.63834103646658,336.0731601916007,182.63834103646658,336.0731601916007,153.43481915513414,0.0,153.43481915513414
432,P0,ATU1,2017-10-17,42,397.7742260543666,183.4702647207427,336.07781588451496,183.4702647207427,336.07781588451496,152.60755116377226,0.0,152.60755116377226
432,P0,ATU1,2017-10-18,43,397.267576036054,184.23124216617438,336.1085650044215,184.23124216617438,336.1085650044215,151.87732283824712,0.0,151.87732283824712
432,P0,ATU1,2017-10-19,44,396.6317579340854,184.92701361217684,336.15851622135534,184.92701361217684,336.15851622135534,151.2315026091785,0.0,151.2315026091785
432,P0,ATU1,2017-10-20,45,395.8846332275911,185.56287053127352,336.22199072126267,185.56287053127352,336.22199072126267,150.65912018998915,0.0,150.65912018998915
432,P0,ATU1,2017-10-21,46,395.044063395701,186.14368987919198,336.2944879778927,186.14368987919198,336.2944879778927,150.1507980987007,0.0,150.1507980987007
432,P0,ATU1,2017-10-22,47,394.1279099175453,186.67396577685912,336.3725372057111,186.67396577685912,336.3725372057111,149.698571428852,0.0,149.698571428852
432,P0,ATU1,2017-10-23,48,393.154034272254,187.1578388142505,336.4535194354504,187.1578388142505,336.4535194354504,149.2956806211999,0.0,149.2956806211999
432,P0,ATU1,2017-10-24,49,392.1402979389572,187.59912315216837,336.53549766695755,187.59912315216837,336.53549766695755,148.93637451478918,0.0,148.93637451478918
432,P0,ATU1,2017-10-25,50,391.1045623967852,188.00133158512932,336.6170692908553,188.00133158512932,336.6170692908553,148.61573770572596,0.0,148.61573770572596
432,P0,ATU1,2017-10-26,51,390.064689124868,188.3872699952929,336.724777552351,188.3872699952929,336.724777552351,148.33750755705807,0.0,148.33750755705807
432,P0,ATU1,2017-10-27,52,389.0385396023356,188.8224695782465,336.9452114791758,188.8224695782465,336.9452114791758,148.12274190092927,0.0,148.12274190092927
432,P0,ATU1,2017-10-28,53,388.0439753083181,189.2202051351552,337.1148674354622,189.2202051351552,337.1148674354622,147.894662300307,0.0,147.894662300307
432,P0,ATU1,2017-10-29,54,387.0988577219458,189.59169949585717,337.2611052096576,189.59169949585717,337.2611052096576,147.66940571380044,0.0,147.66940571380044
432,P0,ATU1,2017-10-30,55,386.2210483223486,189.93067454353013,337.382643636074,189.93067454353013,337.382643636074,147.4519690925439,0.0,147.4519690925439
432,P0,ATU1,2017-10-31,56,385.4284085886566,190.2397708755193,337.4896534289807,190.2397708755193,337.4896534289807,147.24988255346142,0.0,147.24988255346142
432,P0,ATU1,2017-11-01,57,384.7388,190.5214547965021,337.58804532910875,190.5214547965021,337.58804532910875,147.06659053260665,0.0,147.06659053260665
432,P0,ATU1,2017-11-02,58,384.1662020295361,190.78757106743222,337.6942589318378,190.78757106743222,337.6942589318378,146.90668786440557,0.0,146.90668786440557
432,P0,ATU1,2017-11-03,59,383.7090661265306,191.029958021079,337.7916093159147,191.029958021079,337.7916093159147,146.76165129483567,0.0,146.76165129483567
432,P0,ATU1,2017-11-04,60,383.3619617342765,191.27009217986162,337.90923728477554,191.27009217986162,337.90923728477554,146.63914510491392,0.0,146.63914510491392
