outer_days,branch,strategy,station,part,first_index,end_index_exclusive,days,rmse_mm,mae_mm,bias_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
432,OLD,P0,ATU1,old_fit_context,30,342,312,13.179558042950767,11.804451804431979,6.243179225618292,10.707436535292763,1.0,97.89694309558229,97.89694309558229,1.0,125.64936665749916,125.64936665749916,1.0,149.72045475197956,149.72045475197956
432,OLD,P0,ATU5,old_fit_context,30,342,312,16.390920889788493,14.680667079357018,6.990130423634373,14.264845534561195,1.0,134.34498371705564,134.34498371705564,1.0,172.42992052549423,172.42992052549423,1.0,205.4629227403582,205.4629227403582
432,OLD,P0,MJ3,old_fit_context,30,342,312,2.504105987575885,2.23142235801153,0.03036266442154629,5.5557009157441755,1.0,59.75862724224095,59.75862724224095,1.0,76.69936800762056,76.69936800762056,1.0,91.39293386645168,91.39293386645168
432,OLD,P0,MJ1,old_fit_context,30,342,312,4.479916209451356,3.880559983244052,-0.3579833484915808,2.620999459549745,0.7211538461538461,10.537824789370815,14.557558659010452,0.8653846153846154,13.52515174492545,16.012443930273655,0.9775641025641025,16.116212311357582,16.30136165722831
432,OLD,P0,ATU1,scale_context,342,432,90,38.19469539084798,34.457168222146095,-34.457168222146095,22.503364921431753,0.8333333333333334,97.8969430955823,108.31230439314153,0.9666666666666667,125.6493666574992,130.20964242301912,1.0,149.72045475197956,149.72045475197956
432,OLD,P0,ATU5,scale_context,342,432,90,52.414974033984194,46.91841362053971,-46.91841362053971,30.83556168596413,0.8777777777777778,134.3449837170556,151.11084597519383,0.9666666666666667,172.4299205254942,177.3814348011106,1.0,205.4629227403582,205.4629227403582
432,OLD,P0,MJ3,scale_context,342,432,90,23.31495236030119,17.610882024455858,-17.52353835133575,13.24475293127354,0.7333333333333333,59.758627242240635,84.36117038126551,0.8444444444444444,76.69936800761967,90.44358662433041,0.9888888888888889,91.39293386645181,91.52671401571669
432,OLD,P0,MJ1,scale_context,342,432,90,4.11135419743559,3.231924828050983,-2.6991776113203945,2.3389475326058777,0.7333333333333333,10.53782478937083,14.90982345788454,0.8444444444444444,13.525151744925466,15.88521634738066,0.9888888888888889,16.1162123113576,16.132860484064384
432,OLD,P0,ATU1,outer_train,30,432,402,21.48062658928828,16.875955480039618,-2.868838859702094,13.348316024726865,0.9626865671641791,97.89694309558229,100.228740401006,0.9925373134328358,125.64936665749914,126.67032391843644,1.0,149.72045475197956,149.72045475197956
432,OLD,P0,ATU5,outer_train,30,432,402,28.698219171112346,21.898073021412845,-5.078946601180719,17.97470735950215,0.972636815920398,134.3449837170556,138.0985349688776,0.9925373134328358,172.42992052549423,173.53846849764716,1.0,205.46292274035827,205.46292274035827
