outer_days,branch,strategy,station,outer_train_rmse_mm_minus_own,outer_train_mae_mm_minus_own,outer_train_crps_mm_minus_own,prediction_rmse_mm_minus_own,prediction_mae_mm_minus_own,prediction_crps_mm_minus_own,strict_improvement_vs_own,outer_train_rmse_mm_minus_current,outer_train_mae_mm_minus_current,outer_train_crps_mm_minus_current,prediction_rmse_mm_minus_current,prediction_mae_mm_minus_current,prediction_crps_mm_minus_current,strict_improvement_vs_current
432,OLD,IN,ATU1,-1.8540999767998905,-4.1669366841895545,-0.6339963111730285,16.21026573894386,15.730757149182324,15.10903198278288,False,9.962767286946592,5.284306567849217,2.8375176573781946,157.16317001726443,156.1190954786848,152.42992485340056,False
432,OLD,IN,ATU5,-1.3490256627478878,-5.373135645020515,-0.1796731992267766,18.59494793967491,17.19397277613558,15.452610600186006,False,23.343830019168145,13.63152223452132,5.424164696344384,145.45549177639631,145.7665007044104,142.37807215530853,False
432,OLD,IN,MJ3,0.2232770271358433,0.040532578674618236,0.10134223748398608,11.054072665244043,10.46114546027075,10.108068130743696,False,4.928011432552133,0.07221379479573375,1.2055098711650345,59.105727047480286,60.457542499708445,50.63582300698201,False
432,OLD,IN,MJ1,-0.5177460349354583,-0.7109299109415557,-0.37681125111681846,-0.9021197901217413,-0.6616239574232035,-0.6443209616017627,True,-4.395306555970393,-3.9028326896323122,-3.1335024230488275,-14.868797752714524,-12.747621034835252,-12.404613573217645,True
432,OLD,OOF,ATU1,-5.773679285801805,-3.4756122049356826,-4.23155022970429,-7.963576146959866,-9.02161197904772,4.1414568279344905,True,6.043187977944678,5.975631047103089,-0.7600362611530667,132.9893281313607,131.36672635045477,141.46234969855215,False
432,OLD,OOF,ATU5,-9.193386932145078,-5.336708521446134,-6.779079134240989,-7.57770179904071,-10.338404655076687,5.62730565548739,True,15.499468749770955,13.6679493580957,-1.1752412386698285,119.2828420376807,118.23412327319812,132.55276721060991,False
432,OLD,OOF,MJ3,5.147304998392073,7.512517363693686,2.0682658915585073,-9.354014479746006,-12.361853088923702,-9.629064907714252,False,9.852039403808362,7.544198579814801,3.1724335252395557,38.69763990249024,37.634543950513994,30.898689968524057,False
432,OLD,OOF,MJ1,9.325162273023029,6.579075135286528,6.0428310091405475,6.742210673486223,6.8618616682367595,4.446184440653107,False,5.447601751988094,3.387172356595771,3.2861398372085384,-7.22446728910656,-5.224135409175288,-7.3141081709627755,False
432,NEW,IN,ATU1,3.7476730111440073,3.6269958031567846,1.0737849664175556,12.986133339366866,12.748764198786418,10.987549078655341,False,3.7476730111440073,3.6269958031567846,1.0737849664175556,12.986133339366866,12.748764198786418,10.987549078655341,False
432,NEW,IN,ATU5,13.658281219196017,11.305038577220255,2.780708162671493,19.042405865652967,16.930622947437257,15.36475988062864,False,13.658281219196017,11.305038577220255,2.780708162671493,19.042405865652967,16.930622947437257,15.36475988062864,False
432,NEW,IN,MJ3,-0.36467364582560435,-0.2393532618031342,0.03290124472700118,-7.335710761583295,-6.3100451053183,-2.5022922650451322,True,-0.36467364582560435,-0.2393532618031342,0.03290124472700118,-7.335710761583295,-6.3100451053183,-2.5022922650451322,True
