candidate,phase,station,days,rmse_mm,mae_mm,bias_mm
A_baseline,train,ATU1,582,11.121637726038347,7.591552574533757,0.21782006736190368
A_baseline,train,ATU5,582,11.615124187164696,9.000009395243984,0.12566582729636264
A_baseline,train,MJ3,582,8.607104269059658,7.569684361704698,-2.156386955331872
A_baseline,train,MJ1,582,8.560781505949107,5.675973415680712,-0.7321345310723264
A_baseline,train,four_point_mean,582,9.976161922052952,7.4593049367907875,-0.636258897936483
A_baseline,prediction,ATU1,180,9.88403981640247,7.51609950537076,7.484150448479837
A_baseline,prediction,ATU5,180,53.34832304431081,37.455506087283176,34.3642197266777
A_baseline,prediction,MJ3,180,124.82274038912898,96.50432928453576,96.50432928453576
A_baseline,prediction,MJ1,180,70.794688417655,55.15092463857055,43.28954827594081
A_baseline,prediction,four_point_mean,180,64.71244791687431,49.156714878940065,45.410561933908525
B_baseline,train,ATU1,582,8.186609206816456,6.16557587457324,2.538382660100172
B_baseline,train,ATU5,582,9.516861268751365,7.974854492070634,-1.9628250412595043
B_baseline,train,MJ3,582,5.619867735636943,4.87066820978771,-1.0107052040864832
B_baseline,train,MJ1,582,5.576147008698025,3.961796211311217,-0.2553387367080875
B_baseline,train,four_point_mean,582,7.224871304975697,5.7432236969357,-0.1726215804884757
B_baseline,prediction,ATU1,180,9.181325749528094,7.836216868153627,5.7409950883093765
B_baseline,prediction,ATU5,180,4.231490183851566,3.542669125660696,2.8924823516933884
B_baseline,prediction,MJ3,180,60.71584117413553,50.36708145182787,50.36708145182787
B_baseline,prediction,MJ1,180,18.394620685891528,15.143004569574689,10.151760519391939
B_baseline,prediction,four_point_mean,180,23.130819448351676,19.22224300380422,17.288079852805645
A_continued,train,ATU1,582,11.055528081824074,7.552866398190489,0.2051448118087088
A_continued,train,ATU5,582,11.609881775411226,9.00146663248772,0.1097538439517923
A_continued,train,MJ3,582,8.592797344703712,7.552567196962683,-2.125276089959982
A_continued,train,MJ1,582,8.557094835423914,5.675464493677506,-0.72749197152263
A_continued,train,four_point_mean,582,9.953825509340732,7.4455911803295995,-0.6344673514305277
A_continued,prediction,ATU1,180,9.647104317382386,7.330830285657119,7.297960758353375
A_continued,prediction,ATU5,180,52.22671131076432,36.67154935658959,33.57744755342511
A_continued,prediction,MJ3,180,124.33704152965942,96.1531755902714,96.1531755902714
A_continued,prediction,MJ1,180,67.38395355036126,52.68310356770512,40.843125060015545
A_continued,prediction,four_point_mean,180,63.39870267704184,48.20966470005581,44.46792724051636
B_continued,train,ATU1,582,8.205017090481677,6.205121246043948,2.669170126734383
B_continued,train,ATU5,582,9.456274591068324,7.9087461825111935,-1.9849726051088803
B_continued,train,MJ3,582,5.607264439348575,4.851707010023787,-0.9885795183177032
B_continued,train,MJ1,582,5.503248859314612,3.9236001083898864,-0.2816614689197368
B_continued,train,four_point_mean,582,7.1929512450532975,5.722293636742204,-0.14651086640298439
B_continued,prediction,ATU1,180,4.264416212270162,2.95704554757896,0.3749605518646828
B_continued,prediction,ATU5,180,5.021708368573075,4.3470540930039006,-1.5134557591683089
B_continued,prediction,MJ3,180,61.04552849517042,50.593260227976884,50.593260227976884
B_continued,prediction,MJ1,180,18.647526258184858,15.311142958359275,10.441309361315612
B_continued,prediction,four_point_mean,180,22.244794833549626,18.302125706729754,14.974018595497217
