station,disp_col,x_m,y_m,elev_m
MJ9,MJ9_disp,687.5,1727.0,190
MJ1,MJ1_disp,108.0,1546.9,335
MJ3,MJ3_disp,116.2,1139.3,425
ATU1,ATU1_disp,121.1,0.0,515
ATU2,ATU2_disp,415.8,415.8,410
ATU3,ATU3_disp,726.8,897.0,310
ATU4,ATU4_disp,769.3,1037.8,285
ATU5,ATU5_disp,0.0,821.7,475
