model,point,n,mae,rmse
BPLUS_CONTINUOUS,ATU1,792,7.7527630996299708,11.894536243565733
BPLUS_CONTINUOUS,ATU5,792,12.042327131745198,16.324050306963144
BPLUS_CONTINUOUS,MJ3,792,11.008136105110776,14.269329433616114
BPLUS_CONTINUOUS,MJ1,792,6.3890630944628786,7.9038144279256217
TRANSFORMER_BRES_COND,ATU1,792,0.43806353571555129,0.61913251909853317
TRANSFORMER_BRES_COND,ATU5,792,0.4935543888361289,0.70673732198707717
TRANSFORMER_BRES_COND,MJ3,792,0.20620143354056231,0.27007592014128229
TRANSFORMER_BRES_COND,MJ1,792,0.20712382061491802,0.27412441081787237
TRANSFORMER_BRES_REG1,ATU1,792,3.896546531670396,5.9879648904411926
TRANSFORMER_BRES_REG1,ATU5,792,6.0660241260985028,8.200295727925683
TRANSFORMER_BRES_REG1,MJ3,792,5.5136463494719274,7.1444662178543101
TRANSFORMER_BRES_REG1,MJ1,792,3.2013678678593176,3.9640794101091048
