fit_days,strategy,segment,station,days,rmse_P0_mm,mae_P0_mm,rmse_NORM_mm,mae_NORM_mm,rmse_PROBE_mm,mae_PROBE_mm,nonzero_pairs,same_direction_days,same_direction_fraction,forecast_improves_P0,forecast_improves_NORM
342,IN,all,ATU1,90,38.19469539084798,34.457168222146095,39.03377522811027,35.46785188266517,53.14541989426331,51.580875577799965,90,1,0.011111111111111112,False,False
342,IN,all,ATU5,90,52.414974033984194,46.91841362053971,55.75112860280375,50.49718654764203,72.01791023945873,69.0417386616904,90,1,0.011111111111111112,False,False
342,IN,all,MJ3,90,23.31495236030119,17.610882024455858,24.18885060316037,18.39064469029302,24.09114928183965,19.095217668150134,90,33,0.36666666666666664,False,False
342,IN,all,MJ1,90,4.11135419743559,3.231924828050983,4.138002277482296,3.6239444478162124,1.8284444294886397,1.2128365434246853,90,71,0.7888888888888889,True,True
342,IN,days_1_30,ATU1,30,17.053340264101436,14.582831653673342,16.770400757398328,15.2016087002418,38.9185425425651,37.67726924922999,30,0,0.0,False,False
342,IN,days_1_30,ATU5,30,21.27696044445072,18.42361879496284,23.13039683650988,21.35357114831105,44.6670306690116,42.93304858365507,30,0,0.0,False,False
342,IN,days_1_30,MJ3,30,2.5665091121673504,2.0935874892455333,2.3142395372549616,1.9367872694986015,2.739357985697069,2.4473145791237547,30,16,0.5333333333333333,False,False
342,IN,days_1_30,MJ1,30,1.2716322911795905,1.1150701013560895,3.6928035425268866,3.22531762694047,1.741839917599889,1.5055760078027711,30,16,0.5333333333333333,False,True
342,IN,days_31_90,ATU1,60,45.197830997934894,44.39433650638248,46.31231199212667,45.60097347387685,58.98582038751019,58.53267874208498,60,1,0.016666666666666666,False,False
342,IN,days_31_90,ATU5,60,62.40704873327608,61.16581103332815,66.29309829704998,65.06899424730754,82.35470404594318,82.09608370070806,60,1,0.016666666666666666,False,False
342,IN,days_31_90,MJ3,60,28.497140572928576,25.36952929206102,29.57994063440832,26.617573400690226,29.441860836110948,27.419169212663327,60,17,0.2833333333333333,False,False
342,IN,days_31_90,MJ1,60,4.954424856950758,4.29035219139843,4.3435233705856175,3.8232578582540837,1.8702434061693312,1.0664668112356424,60,55,0.9166666666666666,True,True
342,OOF,all,ATU1,90,38.19469539084798,34.457168222146095,38.1968033681546,34.80348640646674,22.66619021455332,20.006121134970233,90,68,0.7555555555555555,True,True
342,OOF,all,ATU5,90,52.414974033984194,46.91841362053971,51.22198652140657,46.63693749728009,37.65265967905292,34.86621826516466,90,67,0.7444444444444445,True,True
342,OOF,all,MJ3,90,23.31495236030119,17.610882024455858,21.3415671195716,15.936680642417075,7.21495317787735,5.787857433088269,90,81,0.9,True,True
342,OOF,all,MJ1,90,4.11135419743559,3.231924828050983,4.51699202582507,4.068463982745246,13.008926304682154,11.172487159810895,90,68,0.7555555555555555,False,False
342,OOF,days_1_30,ATU1,30,17.053340264101436,14.582831653673342,17.501063583167607,15.978047215138265,16.804360861494757,14.706547602598441,30,8,0.26666666666666666,False,True
342,OOF,days_1_30,ATU5,30,21.27696044445072,18.42361879496284,22.644059853494074,21.044878109715675,21.28779162284089,18.53212660118854,30,7,0.23333333333333334,False,True
342,OOF,days_1_30,MJ3,30,2.5665091121673504,2.0935874892455333,2.174527956473665,1.5347431242662273,1.2887390981731641,1.014424874747806,30,21,0.7,True,True
342,OOF,days_1_30,MJ1,30,1.2716322911795905,1.1150701013560895,5.965849357532187,5.771267043656113,4.8932742156671205,4.442752723658164,30,12,0.4,False,True
342,OOF,days_31_90,ATU1,60,45.197830997934894,44.39433650638248,45.11485418403968,44.21620600213098,25.088662704133924,22.655907901156134,60,60,1.0,True,True
342,OOF,days_31_90,ATU5,60,62.40704873327608,61.16581103332815,60.6560889892715,59.43296719106229,43.588979516285065,43.033264097152724,60,60,1.0,True,True
342,OOF,days_31_90,MJ3,60,28.497140572928576,25.36952929206102,26.09270865130768,23.1376494014925,8.789362878324209,8.174573712258502,60,60,1.0,True,True
342,OOF,days_31_90,MJ1,60,4.954424856950758,4.29035219139843,3.5789867509767763,3.2170624522898112,15.55236892329013,14.537354377887262,60,56,0.9333333333333333,False,False
432,IN,all,ATU1,180,55.386000418770955,54.513970896972424,62.802920797782946,61.92118454761227,49.60182077176286,47.93453066428311,180,108,0.6,True,True
432,IN,all,ATU5,180,140.06419011407704,134.6063919201048,148.41173579156506,143.05792939072438,142.33121889741417,136.59525216350093,180,75,0.4166666666666667,False,True
432,IN,all,MJ3,180,14.720515018928182,12.545990697413949,9.842769630050881,8.349385439360152,13.141449845029937,11.704473169092575,180,114,0.6333333333333333,True,False
432,IN,all,MJ1,180,21.877992443612733,18.144087691792183,15.067132969817147,11.511314060313897,25.27382750187907,22.49379725966319,180,53,0.29444444444444445,False,False
432,IN,days_1_30,ATU1,30,57.197608294364606,52.80331164339482,63.66445331039691,59.37488911208922,40.049775119253844,37.153888952477686,30,21,0.7,True,True
432,IN,days_1_30,ATU5,30,68.34523706167072,62.52874689260478,75.97786762528037,70.25921702080312,70.01932740675706,62.5694799690822,30,17,0.5666666666666667,False,True
432,IN,days_1_30,MJ3,30,6.86993477420696,6.2709062723555915,12.817272410925199,12.199947898079767,9.589262427405973,8.508405758261407,30,6,0.2,False,True
432,IN,days_1_30,MJ1,30,0.6032667457502434,0.5462985706280808,1.8438658895489037,1.5638947501436442,7.213286753139303,6.982710508163143,30,20,0.6666666666666666,False,False
432,IN,days_31_90,ATU1,60,52.74484136787298,52.42518079695015,59.39047661475916,59.031754517638014,51.294626219125796,50.63559649734787,60,33,0.55,True,True
432,IN,days_31_90,ATU5,60,128.21510409676227,127.37698047620161,135.66619827400788,134.87166436771915,130.25824894775047,129.65802178166732,60,22,0.36666666666666664,False,True
432,IN,days_31_90,MJ3,60,6.5025535272188035,5.820851823762314,8.41524733215067,6.313942793171941,10.481647964175371,8.488944884200404,60,30,0.5,False,False
432,IN,days_31_90,MJ1,60,12.261396470835933,11.077853235170137,4.628461596388733,3.885696131517214,16.663811735550382,14.917363271044215,60,12,0.2,False,False
432,IN,days_91_180,ATU1,90,56.480236301113464,56.476717381513126,64.69832847925149,64.69623637943616,51.302312807585494,49.72736734617508,90,54,0.6,True,True
432,IN,days_91_180,ATU5,90,163.46107268273465,163.45188122520696,172.79370054765926,172.7816768627016,166.04409674197882,165.8953298161962,90,36,0.4,False,True
432,IN,days_91_180,MJ3,90,19.734901114391157,19.12111142153449,9.580630399632888,8.422826383912419,15.540295816416116,14.913514495964414,90,78,0.8666666666666667,True,False
432,IN,days_91_180,MJ1,90,29.2736041658697,28.72084036992825,20.94330299215617,19.91086578290177,32.78821633183525,32.715115502575856,90,21,0.23333333333333334,False,False
