fit_days,strategy,lead,target,station,candidate_origin,candidate_target,distance,mse_displacement,mse_hydrology,mse_static,mse_history,mse_lead,candidate_demand_mm,query_demand_mm,demand_difference_mm,nonzero_pair,same_direction
342,IN,0,342,ATU1,252,252,1.2038516452506605,2.9990880964183453,1.2919211730661735,0.0,4.623939705504743,0.0,-20.635415987502675,0.7536451412539407,21.389061128756616,True,False
342,IN,0,342,ATU5,252,252,1.2038516452506605,2.9990880964183453,1.2919211730661735,0.0,4.623939705504743,0.0,-21.645977299326148,1.0798563131158119,22.72583361244196,True,False
342,IN,0,342,MJ3,252,252,1.2038516452506605,2.9990880964183453,1.2919211730661735,0.0,4.623939705504743,0.0,2.2722609131003537,-0.08412848085049518,-2.356389393950849,True,False
342,IN,0,342,MJ1,252,252,1.2038516452506605,2.9990880964183453,1.2919211730661735,0.0,4.623939705504743,0.0,-0.8873017543412516,0.10160532337954464,0.9889070777207962,True,False
342,IN,1,343,ATU1,252,253,1.20765288994551,3.0856860164830944,1.2946096511200276,0.0,4.623939705504743,0.0,-20.96245081620684,1.5010645960332312,22.46351541224007,True,False
342,IN,1,343,ATU5,252,253,1.20765288994551,3.0856860164830944,1.2946096511200276,0.0,4.623939705504743,0.0,-21.916737533265092,2.1367421122840256,24.053479645549118,True,False
342,IN,1,343,MJ3,252,253,1.20765288994551,3.0856860164830944,1.2946096511200276,0.0,4.623939705504743,0.0,2.2450457293467707,-0.2758155572062151,-2.520861286552986,True,False
342,IN,1,343,MJ1,252,253,1.20765288994551,3.0856860164830944,1.2946096511200276,0.0,4.623939705504743,0.0,-0.7277325708097351,-0.3909478016370258,0.3367847691727093,True,True
342,IN,2,344,ATU1,252,254,1.209189209933977,3.2396153510179184,1.2787197451165753,0.0,4.623939705504743,0.0,-21.26594086285666,2.2110552690904655,23.476996131947125,True,False
342,IN,2,344,ATU5,252,254,1.209189209933977,3.2396153510179184,1.2787197451165753,0.0,4.623939705504743,0.0,-22.16563684760125,3.1435301209112083,25.309166968512457,True,False
342,IN,2,344,MJ3,252,254,1.209189209933977,3.2396153510179184,1.2787197451165753,0.0,4.623939705504743,0.0,2.234862677261731,-0.6393080245304645,-2.8741707017921954,True,False
342,IN,2,344,MJ1,252,254,1.209189209933977,3.2396153510179184,1.2787197451165753,0.0,4.623939705504743,0.0,-0.5593646931069998,-1.5547945971151194,-0.9954299040081196,True,True
342,IN,3,345,ATU1,252,255,1.1975173752998887,3.3090058627505092,1.2226578384876845,0.0,4.623939705504743,0.0,-21.546058643769868,2.9708692154081575,24.516927859178026,True,False
342,IN,3,345,ATU5,252,255,1.1975173752998887,3.3090058627505092,1.2226578384876845,0.0,4.623939705504743,0.0,-22.393804633267337,4.19494130922584,26.588745942493176,True,False
342,IN,3,345,MJ3,252,255,1.1975173752998887,3.3090058627505092,1.2226578384876845,0.0,4.623939705504743,0.0,2.2400696592387703,-0.774633788471192,-3.0147034477099623,True,False
342,IN,3,345,MJ1,252,255,1.1975173752998887,3.3090058627505092,1.2226578384876845,0.0,4.623939705504743,0.0,-0.3830477508478225,-1.960240805527178,-1.5771930546793556,True,True
342,IN,4,346,ATU1,252,256,1.1741266535648316,3.3413761724743085,1.1268968865787816,0.0,4.623939705504743,0.0,-21.802870506434864,3.779276105003248,25.582146611438112,True,False
342,IN,4,346,ATU5,252,256,1.1741266535648316,3.3413761724743085,1.1268968865787816,0.0,4.623939705504743,0.0,-22.602265567737135,5.28961857852633,27.891884146263465,True,False
342,IN,4,346,MJ3,252,256,1.1741266535648316,3.3413761724743085,1.1268968865787816,0.0,4.623939705504743,0.0,2.2594357753623626,-0.729564566258432,-2.9890003416207946,True,False
342,IN,4,346,MJ1,252,256,1.1741266535648316,3.3413761724743085,1.1268968865787816,0.0,4.623939705504743,0.0,-0.1991836360572279,-1.8622453958521419,-1.663061759794914,True,True
342,IN,5,347,ATU1,252,257,1.162657943141268,3.380880093928263,1.0772250524551512,0.0,4.623939705504743,0.0,-22.036343653766018,4.608609055181731,26.64495270894775,True,False
342,IN,5,347,ATU5,252,257,1.162657943141268,3.380880093928263,1.0772250524551512,0.0,4.623939705504743,0.0,-22.79194626215302,6.397550703088001,29.18949696524102,True,False
342,IN,5,347,MJ3,252,257,1.162657943141268,3.380880093928263,1.0772250524551512,0.0,4.623939705504743,0.0,2.2918683121802133,-0.6308969601295757,-2.922765272309789,True,False
342,IN,5,347,MJ1,252,257,1.162657943141268,3.380880093928263,1.0772250524551512,0.0,4.623939705504743,0.0,-0.00806715590283602,-1.696211756113712,-1.688144600210876,True,True
342,IN,6,348,ATU1,252,258,1.1523033535171674,3.419881007534694,1.03227342857429,0.0,4.623939705504743,0.0,-22.27315228590836,5.4852843607656325,27.758436646673992,True,False
342,IN,6,348,ATU5,252,258,1.1523033535171674,3.419881007534694,1.03227342857429,0.0,4.623939705504743,0.0,-22.993151314616995,7.5474712218525895,30.540622536469584,True,False
342,IN,6,348,MJ3,252,258,1.1523033535171674,3.419881007534694,1.03227342857429,0.0,4.623939705504743,0.0,2.3262764972048444,-0.47765139247098887,-2.8039278896758333,True,False
342,IN,6,348,MJ1,252,258,1.1523033535171674,3.419881007534694,1.03227342857429,0.0,4.623939705504743,0.0,0.16903752148675721,-1.4841892845140592,-1.6532268060008164,True,False
342,IN,7,349,ATU1,252,259,1.1443433237533096,3.4603045162719797,0.9964649526198792,0.0,4.623939705504743,0.0,-22.48437058652145,6.407956655861952,28.892327242383402,True,False
342,IN,7,349,ATU5,252,259,1.1443433237533096,3.4603045162719797,0.9964649526198792,0.0,4.623939705504743,0.0,-23.175140525385956,8.737959452781098,31.913099978167054,True,False
342,IN,7,349,MJ3,252,259,1.1443433237533096,3.4603045162719797,0.9964649526198792,0.0,4.623939705504743,0.0,2.3765562037584687,-0.27901804858629475,-2.6555742523447634,True,False
342,IN,7,349,MJ1,252,259,1.1443433237533096,3.4603045162719797,0.9964649526198792,0.0,4.623939705504743,0.0,0.36178429063295425,-1.2451434798388163,-1.6069277704717706,True,False
342,IN,8,350,ATU1,252,260,1.1388428176319836,3.500053154930937,0.9701544595988293,0.0,4.623939705504743,0.0,-22.66975136010528,7.3752781165481025,30.045029476653383,True,False
342,IN,8,350,ATU5,252,260,1.1388428176319836,3.500053154930937,0.9701544595988293,0.0,4.623939705504743,0.0,-23.33864164728493,9.967609554640148,33.30625120192508,True,False
342,IN,8,350,MJ3,252,260,1.1388428176319836,3.500053154930937,0.9701544595988293,0.0,4.623939705504743,0.0,2.4388437597269785,-0.0394484719013235,-2.478292231628302,True,False
342,IN,8,350,MJ1,252,260,1.1388428176319836,3.500053154930937,0.9701544595988293,0.0,4.623939705504743,0.0,0.564096080280251,-0.9852148461276329,-1.549310926407884,True,False
342,IN,9,351,ATU1,252,261,1.1326005647369026,3.532558122733306,0.9422169461498551,0.0,4.623939705504743,0.0,-22.878417977336227,8.386016159628966,31.264434136965193,True,False
342,IN,9,351,ATU5,252,261,1.1326005647369026,3.532558122733306,0.9422169461498551,0.0,4.623939705504743,0.0,-23.53873735293344,11.235130429409821,34.77386778234326,True,False
342,IN,9,351,MJ3,252,261,1.1326005647369026,3.532558122733306,0.9422169461498551,0.0,4.623939705504743,0.0,2.4924039890697713,0.23842844458590662,-2.2539755444838647,True,True
342,IN,9,351,MJ1,252,261,1.1326005647369026,3.532558122733306,0.9422169461498551,0.0,4.623939705504743,0.0,0.7348382438033241,-0.7070894728276471,-1.4419277166309712,True,False
342,IN,10,352,ATU1,252,262,1.1283826588121815,3.5643713389329124,0.9220049056721282,0.0,4.623939705504743,0.0,-23.057184643481783,9.439060579320454,32.49624522280224,True,False
342,IN,10,352,ATU5,252,262,1.1283826588121815,3.5643713389329124,0.9220049056721282,0.0,4.623939705504743,0.0,-23.718004713427746,12.539351126791587,36.25735584021933,True,False
342,IN,10,352,MJ3,252,262,1.1283826588121815,3.5643713389329124,0.9220049056721282,0.0,4.623939705504743,0.0,2.563419276270565,0.5525509052206417,-2.0108683710499236,True,True
342,IN,10,352,MJ1,252,262,1.1283826588121815,3.5643713389329124,0.9220049056721282,0.0,4.623939705504743,0.0,0.9284995845954427,-0.41268031449601494,-1.3411798990914576,True,False
342,IN,11,353,ATU1,252,263,1.1271306140438981,3.597970674080513,0.9125655661767074,0.0,4.623939705504743,0.0,-23.205759821777903,10.533416384045864,33.73917620582377,True,False
342,IN,11,353,ATU5,252,263,1.1271306140438981,3.597970674080513,0.9125655661767074,0.0,4.623939705504743,0.0,-23.877138042624637,13.879214039789218,37.756352082413855,True,False
342,IN,11,353,MJ3,252,263,1.1271306140438981,3.597970674080513,0.9125655661767074,0.0,4.623939705504743,0.0,2.6456083755151667,0.9010732062704392,-1.7445351692447275,True,True
342,IN,11,353,MJ1,252,263,1.1271306140438981,3.597970674080513,0.9125655661767074,0.0,4.623939705504743,0.0,1.1340700307506495,-0.10371452894639788,-1.2377845596970474,True,False
342,IN,12,354,ATU1,252,264,1.1300924046623286,3.637150421404913,0.9179516526369158,0.0,4.623939705504743,0.0,-23.323944843582062,11.593851304998779,34.91779614858084,True,False
342,IN,12,354,ATU5,252,264,1.1300924046623286,3.637150421404913,0.9179516526369158,0.0,4.623939705504743,0.0,-24.016898941422212,15.172368198137917,39.18926713956013,True,False
342,IN,12,354,MJ3,252,264,1.1300924046623286,3.637150421404913,0.9179516526369158,0.0,4.623939705504743,0.0,2.7358464564265432,1.2522611961230723,-1.483585260303471,True,True
342,IN,12,354,MJ1,252,264,1.1300924046623286,3.637150421404913,0.9179516526369158,0.0,4.623939705504743,0.0,1.3475698529827014,0.15694481653781622,-1.1906250364448852,True,True
342,IN,13,355,ATU1,252,265,1.1334646217508269,3.6770792701430657,0.9247877978715366,0.0,4.623939705504743,0.0,-23.411484225774274,12.699213562767085,36.11069778854136,True,False
342,IN,13,355,ATU5,252,265,1.1334646217508269,3.6770792701430657,0.9247877978715366,0.0,4.623939705504743,0.0,-24.13798892170753,16.504918139513677,40.64290706122121,True,False
342,IN,13,355,MJ3,252,265,1.1334646217508269,3.6770792701430657,0.9247877978715366,0.0,4.623939705504743,0.0,2.8074651176276575,1.649613651013624,-1.1578514666140336,True,True
342,IN,13,355,MJ1,252,265,1.1334646217508269,3.6770792701430657,0.9247877978715366,0.0,4.623939705504743,0.0,1.5559051062828075,0.45674466606863007,-1.0991604402141775,True,True
342,IN,14,356,ATU1,252,266,1.1359401611511237,3.714863884217168,0.9286195688589367,0.0,4.623939705504743,0.0,-23.468050642500856,13.848733034062505,37.31678367656336,True,False
342,IN,14,356,ATU5,252,266,1.1359401611511237,3.714863884217168,0.9286195688589367,0.0,4.623939705504743,0.0,-24.241037116222003,17.875983872346353,42.117020988568356,True,False
342,IN,14,356,MJ3,252,266,1.1359401611511237,3.714863884217168,0.9286195688589367,0.0,4.623939705504743,0.0,2.831363108748292,2.0822977220141183,-0.7490653867341734,True,True
342,IN,14,356,MJ1,252,266,1.1359401611511237,3.714863884217168,0.9286195688589367,0.0,4.623939705504743,0.0,1.7453019277393196,0.7755420624188218,-0.9697598653204977,True,True
342,IN,15,357,ATU1,252,267,1.1347851231243378,3.74598469265507,0.9198648959971211,0.0,4.623939705504743,0.0,-23.60350426964923,15.041444439141571,38.6449487087908,True,False
342,IN,15,357,ATU5,252,267,1.1347851231243378,3.74598469265507,0.9198648959971211,0.0,4.623939705504743,0.0,-24.448283074367467,19.284533425767194,43.73281650013466,True,False
342,IN,15,357,MJ3,252,267,1.1347851231243378,3.74598469265507,0.9198648959971211,0.0,4.623939705504743,0.0,2.727483361913869,2.544836562575256,-0.18264679933861316,True,True
342,IN,15,357,MJ1,252,267,1.1347851231243378,3.74598469265507,0.9198648959971211,0.0,4.623939705504743,0.0,1.8094926369218456,1.1051995012218185,-0.704293135700027,True,True
342,IN,16,358,ATU1,252,268,1.1332909862089389,3.7741539111157,0.9102733809624992,0.0,4.623939705504743,0.0,-23.699242325507825,16.276448095163417,39.97569042067124,True,False
342,IN,16,358,ATU5,252,268,1.1332909862089389,3.7741539111157,0.9102733809624992,0.0,4.623939705504743,0.0,-24.63019588383618,20.729605081092814,45.35980096492899,True,False
342,IN,16,358,MJ3,252,268,1.1332909862089389,3.7741539111157,0.9102733809624992,0.0,4.623939705504743,0.0,2.62890041878984,3.03473610190008,0.4058356831102401,True,True
342,IN,16,358,MJ1,252,268,1.1332909862089389,3.7741539111157,0.9102733809624992,0.0,4.623939705504743,0.0,1.9080019455002457,1.4426652774932336,-0.4653366680070121,True,True
342,IN,17,359,ATU1,252,269,1.132572766923647,3.7994232414617897,0.9039899121957072,0.0,4.623939705504743,0.0,-23.754907168572487,17.552938210904912,41.3078453794774,True,False
342,IN,17,359,ATU5,252,269,1.132572766923647,3.7994232414617897,0.9039899121957072,0.0,4.623939705504743,0.0,-24.787436306927205,22.210330910275502,46.99776721720271,True,False
342,IN,17,359,MJ3,252,269,1.132572766923647,3.7994232414617897,0.9039899121957072,0.0,4.623939705504743,0.0,2.5060110693933666,3.5504294079398733,1.0444183385465067,True,True
342,IN,17,359,MJ1,252,269,1.132572766923647,3.7994232414617897,0.9039899121957072,0.0,4.623939705504743,0.0,2.008331263144555,1.786155765600256,-0.2221754975442991,True,True
342,IN,18,360,ATU1,252,270,1.1333336391155828,3.8247048269636412,0.9032106499096813,0.0,4.623939705504743,0.0,-23.77044872739429,18.806342333724672,42.57679106111896,True,False
342,IN,18,360,ATU5,252,270,1.1333336391155828,3.8247048269636412,0.9032106499096813,0.0,4.623939705504743,0.0,-24.920914905304272,23.65576824338416,48.57668314868843,True,False
342,IN,18,360,MJ3,252,270,1.1333336391155828,3.8247048269636412,0.9032106499096813,0.0,4.623939705504743,0.0,2.3752225125296036,4.065987157774089,1.690764645244485,True,True
342,IN,18,360,MJ1,252,270,1.1333336391155828,3.8247048269636412,0.9032106499096813,0.0,4.623939705504743,0.0,2.1123959987421586,2.083139742108756,-0.0292562566334027,True,True
342,IN,19,361,ATU1,252,271,1.2006188856257896,3.887182218774261,1.1522805319594416,0.0,4.623939705504743,0.0,-23.754728737378315,19.760634231902216,43.51536296928053,True,False
342,IN,19,361,ATU5,252,271,1.2006188856257896,3.887182218774261,1.1522805319594416,0.0,4.623939705504743,0.0,-25.041371720916885,24.768168367049697,49.80954008796658,True,False
342,IN,19,361,MJ3,252,271,1.2006188856257896,3.887182218774261,1.1522805319594416,0.0,4.623939705504743,0.0,2.2122879214389286,4.308069394436188,2.0957814729972597,True,True
342,IN,19,361,MJ1,252,271,1.2006188856257896,3.887182218774261,1.1522805319594416,0.0,4.623939705504743,0.0,2.20201308865785,1.854743606163197,-0.34726948249465295,True,True
342,IN,20,362,ATU1,252,272,1.2951253929528908,3.9663877020482583,1.528456443195409,0.0,4.623939705504743,0.0,-23.764814811550806,20.688948874393716,44.45376368594452,True,False
342,IN,20,362,ATU5,252,272,1.2951253929528908,3.9663877020482583,1.528456443195409,0.0,4.623939705504743,0.0,-25.21273993767396,25.85069709014664,51.0634370278206,True,False
342,IN,20,362,MJ3,252,272,1.2951253929528908,3.9663877020482583,1.528456443195409,0.0,4.623939705504743,0.0,1.964706121217091,4.225125785018463,2.260419663801372,True,True
342,IN,20,362,MJ1,252,272,1.2951253929528908,3.9663877020482583,1.528456443195409,0.0,4.623939705504743,0.0,2.217458832156126,1.3614678945059495,-0.8559909376501764,True,True
342,IN,21,363,ATU1,252,273,1.408874360829506,4.046740792269721,2.0222827993081647,0.0,4.623939705504743,0.0,-23.843440849012495,21.60320576948679,45.44664661849929,True,False
342,IN,21,363,ATU5,252,273,1.408874360829506,4.046740792269721,2.0222827993081647,0.0,4.623939705504743,0.0,-25.483032186004266,26.916544747861195,52.39957693386546,True,False
342,IN,21,363,MJ3,252,273,1.408874360829506,4.046740792269721,2.0222827993081647,0.0,4.623939705504743,0.0,1.6072143973743778,3.938200297170397,2.330985899796019,True,True
342,IN,21,363,MJ1,252,273,1.408874360829506,4.046740792269721,2.0222827993081647,0.0,4.623939705504743,0.0,2.124045641561679,0.7301844724092916,-1.3938611691523874,True,True
342,IN,22,364,ATU1,252,274,1.545481644638184,4.144445459016693,2.671360035069191,0.0,4.623939705504743,0.0,-23.867741783757936,22.51017526031187,46.377917044069804,True,False
342,IN,22,364,ATU5,252,274,1.545481644638184,4.144445459016693,2.671360035069191,0.0,4.623939705504743,0.0,-25.718451936616702,27.971674676851933,53.690126613468635,True,False
