fit_days,strategy,lead,target,station,candidate_origin,candidate_target,distance,past_distance_min,past_distance_median,past_distance_max,query_demand_mm,probe_correction_mm,norm_correction_mm,nonzero_pair,same_direction
342,IN,0,342,ATU1,252,252,1.2038516452506605,,,,0.7536451412539407,-20.635415987502675,-2.1806436017247535,True,False
342,IN,0,342,ATU5,252,252,1.2038516452506605,,,,1.0798563131158119,-21.645977299326148,-4.067669967769206,True,False
342,IN,0,342,MJ3,252,252,1.2038516452506605,,,,-0.08412848085049518,2.2722609131003537,0.8527960146675468,True,False
342,IN,0,342,MJ1,252,252,1.2038516452506605,,,,0.10160532337954464,-0.8873017543412516,4.340647846695447,True,False
342,IN,1,343,ATU1,252,253,1.20765288994551,,,,1.5010645960332312,-20.96245081620684,-2.6207095450819082,True,False
342,IN,1,343,ATU5,252,253,1.20765288994551,,,,2.1367421122840256,-21.916737533265092,-4.355007258575938,True,False
342,IN,1,343,MJ3,252,253,1.20765288994551,,,,-0.2758155572062151,2.2450457293467707,0.8764252935773129,True,False
342,IN,1,343,MJ1,252,253,1.20765288994551,,,,-0.3909478016370258,-0.7277325708097351,4.621543501755809,True,True
342,IN,2,344,ATU1,252,254,1.209189209933977,,,,2.2110552690904655,-21.26594086285666,-2.9239253051573826,True,False
342,IN,2,344,ATU5,252,254,1.209189209933977,,,,3.1435301209112083,-22.16563684760125,-4.62730702764199,True,False
342,IN,2,344,MJ3,252,254,1.209189209933977,,,,-0.6393080245304645,2.234862677261731,0.6641361745971608,True,False
342,IN,2,344,MJ1,252,254,1.209189209933977,,,,-1.5547945971151194,-0.5593646931069998,4.24561999952175,True,True
342,IN,3,345,ATU1,252,255,1.1975173752998887,,,,2.9708692154081575,-21.546058643769868,-2.962275030817466,True,False
342,IN,3,345,ATU5,252,255,1.1975173752998887,,,,4.19494130922584,-22.393804633267337,-4.793475432977971,True,False
342,IN,3,345,MJ3,252,255,1.1975173752998887,,,,-0.774633788471192,2.2400696592387703,0.7083265413921254,True,False
342,IN,3,345,MJ1,252,255,1.1975173752998887,,,,-1.960240805527178,-0.3830477508478225,4.217383250009334,True,True
342,IN,4,346,ATU1,252,256,1.1741266535648316,,,,3.779276105003248,-21.802870506434864,-2.8389859557468355,True,False
342,IN,4,346,ATU5,252,256,1.1741266535648316,,,,5.28961857852633,-22.602265567737135,-4.994718965743914,True,False
342,IN,4,346,MJ3,252,256,1.1741266535648316,,,,-0.729564566258432,2.2594357753623626,0.699432303594449,True,False
342,IN,4,346,MJ1,252,256,1.1741266535648316,,,,-1.8622453958521419,-0.1991836360572279,4.206817386520584,True,True
342,IN,5,347,ATU1,252,257,1.162657943141268,,,,4.608609055181731,-22.036343653766018,-2.7403216510882658,True,False
342,IN,5,347,ATU5,252,257,1.162657943141268,,,,6.397550703088001,-22.79194626215302,-5.156066347179063,True,False
342,IN,5,347,MJ3,252,257,1.162657943141268,,,,-0.6308969601295757,2.2918683121802133,0.7299231431070439,True,False
342,IN,5,347,MJ1,252,257,1.162657943141268,,,,-1.696211756113712,-0.00806715590283602,4.087141914877861,True,True
342,IN,6,348,ATU1,252,258,1.1523033535171674,,,,5.4852843607656325,-22.27315228590836,-2.8044031292817237,True,False
342,IN,6,348,ATU5,252,258,1.1523033535171674,,,,7.5474712218525895,-22.993151314616995,-5.2357411031936465,True,False
342,IN,6,348,MJ3,252,258,1.1523033535171674,,,,-0.47765139247098887,2.3262764972048444,0.8717310563854426,True,False
342,IN,6,348,MJ1,252,258,1.1523033535171674,,,,-1.4841892845140592,0.16903752148675721,4.206275741396325,True,False
342,IN,7,349,ATU1,252,259,1.1443433237533096,,,,6.407956655861952,-22.48437058652145,-2.7822569253710014,True,False
342,IN,7,349,ATU5,252,259,1.1443433237533096,,,,8.737959452781098,-23.175140525385956,-5.15499377715193,True,False
342,IN,7,349,MJ3,252,259,1.1443433237533096,,,,-0.27901804858629475,2.3765562037584687,1.0919480480877155,True,False
342,IN,7,349,MJ1,252,259,1.1443433237533096,,,,-1.2451434798388163,0.36178429063295425,4.235555509157393,True,False
342,IN,8,350,ATU1,252,260,1.1388428176319836,,,,7.3752781165481025,-22.66975136010528,-2.481175676023014,True,False
342,IN,8,350,ATU5,252,260,1.1388428176319836,,,,9.967609554640148,-23.33864164728493,-5.100295687685616,True,False
342,IN,8,350,MJ3,252,260,1.1388428176319836,,,,-0.0394484719013235,2.4388437597269785,1.443126197618085,True,False
342,IN,8,350,MJ1,252,260,1.1388428176319836,,,,-0.9852148461276329,0.564096080280251,3.9596324689034645,True,False
342,IN,9,351,ATU1,252,261,1.1326005647369026,,,,8.386016159628966,-22.878417977336227,-2.016809112301388,True,False
342,IN,9,351,ATU5,252,261,1.1326005647369026,,,,11.235130429409821,-23.53873735293344,-4.923132407591481,True,False
342,IN,9,351,MJ3,252,261,1.1326005647369026,,,,0.23842844458590662,2.4924039890697713,1.558044539695402,True,True
342,IN,9,351,MJ1,252,261,1.1326005647369026,,,,-0.7070894728276471,0.7348382438033241,3.845081219148142,True,False
342,IN,10,352,ATU1,252,262,1.1283826588121815,,,,9.439060579320454,-23.057184643481783,-1.7504185432221675,True,False
342,IN,10,352,ATU5,252,262,1.1283826588121815,,,,12.539351126791587,-23.718004713427746,-4.692464274234908,True,False
342,IN,10,352,MJ3,252,262,1.1283826588121815,,,,0.5525509052206417,2.563419276270565,1.5674241981116666,True,True
342,IN,10,352,MJ1,252,262,1.1283826588121815,,,,-0.41268031449601494,0.9284995845954427,3.850220798919622,True,False
342,IN,11,353,ATU1,252,263,1.1271306140438981,,,,10.533416384045864,-23.205759821777903,-1.5727205805366395,True,False
342,IN,11,353,ATU5,252,263,1.1271306140438981,,,,13.879214039789218,-23.877138042624637,-4.359990894499873,True,False
342,IN,11,353,MJ3,252,263,1.1271306140438981,,,,0.9010732062704392,2.6456083755151667,1.6950924139202925,True,True
342,IN,11,353,MJ1,252,263,1.1271306140438981,,,,-0.10371452894639788,1.1340700307506495,3.8513356283830262,True,False
342,IN,12,354,ATU1,252,264,1.1300924046623286,,,,11.593851304998779,-23.323944843582062,-1.5376571631426117,True,False
342,IN,12,354,ATU5,252,264,1.1300924046623286,,,,15.172368198137917,-24.016898941422212,-4.243114489442661,True,False
342,IN,12,354,MJ3,252,264,1.1300924046623286,,,,1.2522611961230723,2.7358464564265432,1.53660214375941,True,True
342,IN,12,354,MJ1,252,264,1.1300924046623286,,,,0.15694481653781622,1.3475698529827014,3.629563919069369,True,True
342,IN,13,355,ATU1,252,265,1.1334646217508269,,,,12.699213562767085,-23.411484225774274,-1.6190507728771166,True,False
342,IN,13,355,ATU5,252,265,1.1334646217508269,,,,16.504918139513677,-24.13798892170753,-4.0424098581127055,True,False
342,IN,13,355,MJ3,252,265,1.1334646217508269,,,,1.649613651013624,2.8074651176276575,1.661315395313295,True,True
342,IN,13,355,MJ1,252,265,1.1334646217508269,,,,0.45674466606863007,1.5559051062828075,3.625932187229637,True,True
342,IN,14,356,ATU1,252,266,1.1359401611511237,,,,13.848733034062505,-23.468050642500856,-1.5528726960974524,True,False
342,IN,14,356,ATU5,252,266,1.1359401611511237,,,,17.875983872346353,-24.241037116222003,-3.9523620761903544,True,False
342,IN,14,356,MJ3,252,266,1.1359401611511237,,,,2.0822977220141183,2.831363108748292,1.7644963867471688,True,True
342,IN,14,356,MJ1,252,266,1.1359401611511237,,,,0.7755420624188218,1.7453019277393196,3.5730336559406624,True,True
342,IN,15,357,ATU1,252,267,1.1347851231243378,,,,15.041444439141571,-23.60350426964923,-1.4114844256982764,True,False
342,IN,15,357,ATU5,252,267,1.1347851231243378,,,,19.284533425767194,-24.448283074367467,-3.670788200884175,True,False
342,IN,15,357,MJ3,252,267,1.1347851231243378,,,,2.544836562575256,2.727483361913869,1.917602808122865,True,True
342,IN,15,357,MJ1,252,267,1.1347851231243378,,,,1.1051995012218185,1.8094926369218456,3.6137390418340374,True,True
342,IN,16,358,ATU1,252,268,1.1332909862089389,,,,16.276448095163417,-23.699242325507825,-1.226407781315629,True,False
342,IN,16,358,ATU5,252,268,1.1332909862089389,,,,20.729605081092814,-24.63019588383618,-3.2467635979371323,True,False
342,IN,16,358,MJ3,252,268,1.1332909862089389,,,,3.03473610190008,2.62890041878984,2.0820829077772487,True,True
342,IN,16,358,MJ1,252,268,1.1332909862089389,,,,1.4426652774932336,1.9080019455002457,3.6885732359680787,True,True
342,IN,17,359,ATU1,252,269,1.132572766923647,,,,17.552938210904912,-23.754907168572487,-0.9501724806073639,True,False
342,IN,17,359,ATU5,252,269,1.132572766923647,,,,22.210330910275502,-24.787436306927205,-2.978805952762116,True,False
342,IN,17,359,MJ3,252,269,1.132572766923647,,,,3.5504294079398733,2.5060110693933666,2.3059573847538104,True,True
342,IN,17,359,MJ1,252,269,1.132572766923647,,,,1.786155765600256,2.008331263144555,3.662395802211222,True,True
342,IN,18,360,ATU1,252,270,1.1333336391155828,,,,18.806342333724672,-23.77044872739429,-0.5595035868568061,True,False
342,IN,18,360,ATU5,252,270,1.1333336391155828,,,,23.65576824338416,-24.920914905304272,-3.0434609580308347,True,False
342,IN,18,360,MJ3,252,270,1.1333336391155828,,,,4.065987157774089,2.3752225125296036,2.3821475552192624,True,True
342,IN,18,360,MJ1,252,270,1.1333336391155828,,,,2.083139742108756,2.1123959987421586,3.4027685448131706,True,True
342,IN,19,361,ATU1,252,271,1.2006188856257896,,,,19.760634231902216,-23.754728737378315,1.9851581926767636,True,False
342,IN,19,361,ATU5,252,271,1.2006188856257896,,,,24.768168367049697,-25.041371720916885,-3.390036340471056,True,False
342,IN,19,361,MJ3,252,271,1.2006188856257896,,,,4.308069394436188,2.2122879214389286,0.2445122555452599,True,True
342,IN,19,361,MJ1,252,271,1.2006188856257896,,,,1.854743606163197,2.20201308865785,1.4674680907402262,True,True
342,IN,20,362,ATU1,252,272,1.2951253929528908,,,,20.688948874393716,-23.764814811550806,2.045161363379009,True,False
342,IN,20,362,ATU5,252,272,1.2951253929528908,,,,25.85069709014664,-25.21273993767396,-0.42566200399500076,True,False
342,IN,20,362,MJ3,252,272,1.2951253929528908,,,,4.225125785018463,1.964706121217091,-0.3270201625828122,True,True
342,IN,20,362,MJ1,252,272,1.2951253929528908,,,,1.3614678945059495,2.217458832156126,1.5909640842043018,True,True
342,IN,21,363,ATU1,252,273,1.408874360829506,,,,21.60320576948679,-23.843440849012495,1.683218042840977,True,False
342,IN,21,363,ATU5,252,273,1.408874360829506,,,,26.916544747861195,-25.483032186004266,0.7054206564343133,True,False
342,IN,21,363,MJ3,252,273,1.408874360829506,,,,3.938200297170397,1.6072143973743778,-0.04320473898110322,True,True
342,IN,21,363,MJ1,252,273,1.408874360829506,,,,0.7301844724092916,2.124045641561679,1.8996548243895859,True,True
342,IN,22,364,ATU1,252,274,1.545481644638184,,,,22.51017526031187,-23.867741783757936,1.7462318513842945,True,False
342,IN,22,364,ATU5,252,274,1.545481644638184,,,,27.971674676851933,-25.718451936616702,0.3656301274300233,True,False
342,IN,22,364,MJ3,252,274,1.545481644638184,,,,3.61203131955358,1.2924443594934019,0.10819717423100883,True,True
342,IN,22,364,MJ1,252,274,1.545481644638184,,,,0.10025399373955679,2.1014860922914522,1.9725575259375319,True,True
342,IN,23,365,ATU1,252,275,1.6859791064640528,,,,23.415388663732458,-23.83809970124502,1.7847612360894658,True,False
342,IN,23,365,ATU5,252,275,1.6859791064640528,,,,29.020688357698987,-25.919959753537228,-0.043623197707717054,True,False
342,IN,23,365,MJ3,252,275,1.6859791064640528,,,,3.3214079924994167,0.9873132372269993,0.13646110529180078,True,True
342,IN,23,365,MJ1,252,275,1.6859791064640528,,,,-0.48288227116324833,2.104050434145165,1.83952155421116,True,False
342,IN,24,366,ATU1,252,276,1.849705715767933,,,,24.322107406591044,-23.86742289845259,2.172880176257607,True,False
342,IN,24,366,ATU5,252,276,1.849705715767933,,,,30.06633623088095,-26.209534529955235,-0.3804551685406068,True,False
342,IN,24,366,MJ3,252,276,1.849705715767933,,,,3.0834770793237567,0.5405951471883554,0.173897490140007,True,True
342,IN,24,366,MJ1,252,276,1.849705715767933,,,,-1.020310104429086,1.9652499581102347,1.6454297337385242,True,False
342,IN,25,367,ATU1,252,277,2.0298219717946884,,,,25.22993239996258,-23.927752699697997,2.612883746980202,True,False
342,IN,25,367,ATU5,252,277,2.0298219717946884,,,,31.1086744994862,-26.55415341574141,-0.5383931734571661,True,False
342,IN,25,367,MJ3,252,277,2.0298219717946884,,,,2.908239668849774,-0.00140630878115644,0.20834754417137447,True,False
342,IN,25,367,MJ1,252,277,2.0298219717946884,,,,-1.507721208016278,1.7502560417659652,1.269649840045986,True,False
342,IN,26,368,ATU1,252,278,2.1424324070041236,,,,26.1807865970772,-23.996304696324785,1.9091875019650928,True,False
342,IN,26,368,ATU5,252,278,2.1424324070041236,,,,32.18736453980878,-26.92666557398374,-0.4369548724552317,True,False
342,IN,26,368,MJ3,252,278,2.1424324070041236,,,,3.0224613420823516,-0.5918119339148689,0.4496947712648307,True,False
342,IN,26,368,MJ1,252,278,2.1424324070041236,,,,-1.5735868731115943,1.5033946129261722,0.7538871395896649,True,False
342,IN,27,369,ATU1,252,279,2.226046220081444,,,,27.162055063136776,-24.05964136159578,1.6561736652818126,True,False
342,IN,27,369,ATU5,252,279,2.226046220081444,,,,33.29002252824199,-27.31028144313788,-0.3361822544935933,True,False
342,IN,27,369,MJ3,252,279,2.226046220081444,,,,3.2546280520789423,-1.1985777386944392,0.3703503028295927,True,False
342,IN,27,369,MJ1,252,279,2.226046220081444,,,,-1.5283727203436683,1.2487882542619673,0.14401932672672046,True,False
342,IN,28,370,ATU1,252,280,2.329418444056848,,,,28.144435410783316,-24.060849924441328,1.3891914177037563,True,False
342,IN,28,370,ATU5,252,280,2.329418444056848,,,,34.38952066784043,-27.642397552429003,-0.43093060108003556,True,False
342,IN,28,370,MJ3,252,280,2.329418444056848,,,,3.4540300557007413,-1.7147847155645195,-0.062202478392237026,True,False
342,IN,28,370,MJ1,252,280,2.329418444056848,,,,-1.6097832209181888,1.1126373323843382,-0.10794468700805737,True,False
342,IN,29,371,ATU1,252,281,2.39664679097812,,,,29.196777313917536,-24.003031054593194,0.9836353713349695,True,False
342,IN,29,371,ATU5,252,281,2.39664679097812,,,,35.556389310085024,-27.924368721360125,-0.3488154945048336,True,False
342,IN,29,371,MJ3,252,281,2.39664679097812,,,,3.877274044830301,-2.1732413468973846,-0.23884505633054687,True,False
342,IN,29,371,MJ1,252,281,2.39664679097812,,,,-1.3723272380580056,1.0290805328490933,-0.896300104951365,True,False
342,IN,30,372,ATU1,252,282,2.4498469229992157,,,,30.311148524686843,-23.889967677857015,1.1155645127172278,True,False
342,IN,30,372,ATU5,252,282,2.4498469229992157,,,,36.78419903653895,-28.158113228142057,-0.2329095619600423,True,False
342,IN,30,372,MJ3,252,282,2.4498469229992157,,,,4.38895325546946,-2.588112847071102,-0.4132341224578795,True,False
342,IN,30,372,MJ1,252,282,2.4498469229992157,,,,-1.0615156577043763,0.9763569947614315,-1.466740492535905,True,False
342,IN,31,373,ATU1,252,283,2.4881202187015496,,,,31.47659001298119,-23.72535747993215,0.6706787668800018,True,False
342,IN,31,373,ATU5,252,283,2.4881202187015496,,,,38.063916001557374,-28.34545737618822,-0.7306955368280228,True,False
342,IN,31,373,MJ3,252,283,2.4881202187015496,,,,4.9365579326292846,-2.9634296341689605,-0.7454118739287878,True,False
342,IN,31,373,MJ1,252,283,2.4881202187015496,,,,-0.754346297005668,0.9492431552801008,-1.41564700311028,True,False
342,IN,32,374,ATU1,252,284,2.5154898439541276,,,,32.68215185665396,-23.515420714068142,0.07799460715321516,True,False
342,IN,32,374,ATU5,252,284,2.5154898439541276,,,,39.38650081249531,-28.49097517321806,-1.5367384793123335,True,False
342,IN,32,374,MJ3,252,284,2.5154898439541276,,,,5.505478499907895,-3.3016948643455635,-1.126082952780962,True,False
342,IN,32,374,MJ1,252,284,2.5154898439541276,,,,-0.46542541323071873,0.9437688147589824,-1.352052399135573,True,False
342,IN,33,375,ATU1,252,285,2.540665924240367,,,,33.91727068193687,-23.260616870628752,-0.3438079314178566,True,False
342,IN,33,375,ATU5,252,285,2.540665924240367,,,,40.74323445253901,-28.593044141586006,-2.106440279670494,True,False
342,IN,33,375,MJ3,252,285,2.540665924240367,,,,6.091811065233969,-3.6010841650919474,-1.2561534678986845,True,False
342,IN,33,375,MJ1,252,285,2.540665924240367,,,,-0.1948814658999254,0.963521829718843,-1.1766725366289847,True,False
342,IN,34,376,ATU1,252,286,2.5631974858908175,,,,35.1717899146597,-22.96412557057888,-0.6507007182841278,True,False
342,IN,34,376,ATU5,252,286,2.5631974858908175,,,,42.12573846284232,-28.652996090148633,-2.242004411530843,True,False
342,IN,34,376,MJ3,252,286,2.5631974858908175,,,,6.694291981839797,-3.862186151468336,-1.2721737942024447,True,False
