phase,candidate,reference,metric,difference,lower,upper,n,block_length,replicates,seed,confidence
development,C16_FAST_PHYS,B_ANCHOR,mae,-6.15892061442,-8.92297695177,-3.75709656968,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,B_ANCHOR,rmse,-9.44834951356,-12.2226444833,-5.7159453202,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,B_ANCHOR,pooled_rmse,-9.72710160693,-12.8853683222,-5.90492969064,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,B_ANCHOR,crps,-5.52534727987,-7.56094383459,-3.84532649673,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,B_ANCHOR,coverage90,-0.0302593659942,-0.0951008645533,0.0389229106628,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,B_ANCHOR,width90,-38.4239209318,-48.4944076176,-29.7423349771,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,B_ANCHOR,interval_score90,-64.67774775,-100.977874204,-41.4109622144,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,DRIFT1,mae,-0.536223592485,-0.749831059781,-0.336406056045,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,DRIFT1,rmse,-0.703884268303,-0.947750548412,-0.418926205177,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,DRIFT1,pooled_rmse,-0.711233238303,-0.977701934589,-0.416776838549,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,DRIFT1,crps,-1.43480851606,-2.01291323644,-0.995751730229,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,DRIFT1,coverage90,-0.0965417867435,-0.16284221902,-0.0353025936599,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,DRIFT1,width90,-19.8964654795,-28.5615405498,-13.5052337337,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,DRIFT1,interval_score90,-19.6197939418,-28.1044928665,-13.3145703114,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,C16_FAST_CORE,mae,0.0402474152169,0.010630100885,0.0845966432395,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,C16_FAST_CORE,rmse,0.0600544019769,0.00959845053739,0.128782787776,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,C16_FAST_CORE,pooled_rmse,0.0654926542613,0.00853129589706,0.156075515259,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,C16_FAST_CORE,crps,0.0271884721816,0.00564958012017,0.0579538846321,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,C16_FAST_CORE,coverage90,-0.0237752161383,-0.0453890489914,-0.00648414985591,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,C16_FAST_CORE,width90,0,-4.4408920985e-16,6.71684929898e-16,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,C16_FAST_CORE,interval_score90,0.286696577303,0.0497184905763,0.615977853355,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,C16_FAST_TREND,mae,0.0156584040616,-0.0176836461091,0.0518815787176,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,C16_FAST_TREND,rmse,0.0318871490756,-0.0237101397785,0.0900269533414,347,30,2000,20260913,0.95
development,C16_FAST_PHYS,C16_FAST_TREND,pooled_rmse,0.0337416622117,-0.0334630403868,0.116364995998,347,30,2000,20260913,0.95
