fit_days,strategy,block,origin,target,teacher,horizon,encoder_sha256,decoder_sha256,baseline_sha256
612,IN,0,31,31,612,1,17c93d30dafc467425088806230f4d719ca92b45bcf5669781c9cfb95bc52d15,94f8cf22aefc2b04d946c8a2d955b19e2bf5a42de01668c13f1b5beeb5f0ce15,e224fc29d6e9ca3d8ba990a0b05d1ea13a3e96c42a6bcbbc21c5d62793409a56
612,IN,0,31,37,612,7,17c93d30dafc467425088806230f4d719ca92b45bcf5669781c9cfb95bc52d15,cf96feecbdb737120cfc04315620c6e23384066fced0a7c575c38379741ff5b4,4c71110f07e16dbd49d38dd7b8c059f7f125edb789317d616ae6ca742c496330
612,IN,0,31,60,612,30,17c93d30dafc467425088806230f4d719ca92b45bcf5669781c9cfb95bc52d15,63b545b483e72eaa94e676f81d04940bbe9f6a2d159cc5fc1eca763bc24767a6,48e8f811bcb56f54a15693744b04185acbb7b39b8379e8c2ae8d5ff75b1860eb
612,IN,0,31,90,612,60,17c93d30dafc467425088806230f4d719ca92b45bcf5669781c9cfb95bc52d15,1f3a16618cfa92feb20e4b9db4cd67e030b65386f6b9a830ef61c92ce342f6fa,ae0e11a433802bdaeaf103bfaa952749753a8ae4c115c220f86c806b9088fdcf
612,IN,0,31,120,612,90,17c93d30dafc467425088806230f4d719ca92b45bcf5669781c9cfb95bc52d15,f86980d667ce73d451ac6534e36cd1e4ee68ab648f155542925c8d16084e9f75,f0708276026e3a5b6d263d6ab1138c9317dbb5d96b0cfa2eeee267272675b360
612,IN,0,31,150,612,120,17c93d30dafc467425088806230f4d719ca92b45bcf5669781c9cfb95bc52d15,76238c50b07e3583dbc1d8ef9b0db476c0678eaadc67227dc8eed57ab61fb182,0cb5a7b1308b58bb41f310cba7d3f4cc85e4020ce9be6ecddc9432f904df4a03
612,IN,0,31,180,612,150,17c93d30dafc467425088806230f4d719ca92b45bcf5669781c9cfb95bc52d15,d7fc90e6c342879a86179ffdc9cbb9f37d076e26e3b27ecd6958caed1e5c6938,368e018568a4436c25e5bf31c7031213e73d9e8bc8b47f4d8b2b5658e0aa7ae3
612,IN,0,31,210,612,180,17c93d30dafc467425088806230f4d719ca92b45bcf5669781c9cfb95bc52d15,f2a5fc8d4b099f28881329817c4afca7748c21f8c839cf292b8473b7a84ad1b1,befc7cdbd2aa1ed60ab75be2a992866cba6a098d46aba14cbb0d2ca09df3e279
612,IN,0,45,45,612,1,4fe70a912e71fb8202bb765750d1c38172fbd996a78e2a7e5158cc042041b913,f384f8f52a21c67956089c72b8bc49af265cb32e53058a6466599ec3dd6a8252,df9dde741f66aae198fa3a8dd6fa92611dc1eb548875024666dbf2282a5216f2
612,IN,0,45,51,612,7,4fe70a912e71fb8202bb765750d1c38172fbd996a78e2a7e5158cc042041b913,5e4f87b33c75fd28e48406979257e52d5655c88cd43d511c9bb5896a201d62e3,93614621c923f84274c5156bdb9a69b602988b2ddac82c11f79556a95aee56be
