outer_days,strategy,station,train_rmse_mm_minus_P0,train_mae_mm_minus_P0,train_crps_mm_minus_P0,train_rmse_mm_minus_RESET,train_mae_mm_minus_RESET,train_crps_mm_minus_RESET,train_rmse_mm_minus_NORM,train_mae_mm_minus_NORM,train_crps_mm_minus_NORM,prediction_rmse_mm_minus_P0,prediction_mae_mm_minus_P0,prediction_crps_mm_minus_P0,prediction_rmse_mm_minus_RESET,prediction_mae_mm_minus_RESET,prediction_crps_mm_minus_RESET,prediction_rmse_mm_minus_NORM,prediction_mae_mm_minus_NORM,prediction_crps_mm_minus_NORM,strict_mean_improvement
432,IN_CARRY,ATU1,-8.042721550996388,-6.16024659110388,-0.804117854257731,-0.9705335909800745,-0.720513911265825,-0.038888744518731144,-0.126712032417301,-0.08339913926647613,-0.08452076667535557,8.369086262374033,8.371009369808704,7.110448098646337,-2.0642945963915764,-2.0498978731012443,-1.8808059342100236,0.9521658833620421,0.9637957191688571,0.9762122423786082,False
432,IN_CARRY,ATU5,-2.924231163134747,-2.080106163898261,0.33688455356328006,-0.3717782186876153,-0.2720317305596309,-0.05237789813006266,-0.14811335393851643,-0.145742146797738,-0.3262593420324009,5.882892317113317,6.285168704935103,4.952847590413484,-1.8250026506949553,-1.7480781170974353,-1.5982314016842025,-2.4646533603747116,-2.1663687656844672,-1.4533390437408826,False
432,IN_CARRY,MJ3,-5.4600788534611375,-4.842877033586393,-0.6992833428060736,-0.2318993131714302,-0.11039051688592716,-0.023741797299987155,-0.21722752589910233,-0.2504032981457338,-0.20830292936906503,-3.9194550167906748,-3.2651140261750573,-1.5066149892430687,-0.10015904207489612,0.027187213237690244,-0.05453305643196238,0.9582903720866263,0.9314912318787396,0.15223417550827278,True
432,IN_CARRY,MJ1,-7.324258382005977,-6.196703654127859,-4.250842303297308,-0.8338779390597292,-0.43690592124589167,-0.18911825211355437,-0.22189742847072302,-0.23689852096194097,-0.10938090024227032,-5.194463292287967,-5.086974679849854,-5.309535566237807,2.982034883216297,2.78676907315087,2.5548198955262205,1.6163961815076195,1.5457989516284325,1.412123027503803,True
432,IN_RESET,ATU1,-7.072187960016313,-5.439732679838055,-0.7652291097389998,0.0,0.0,0.0,0.8438215585627735,0.6371147719993489,-0.04563202215662443,10.43338085876561,10.420907242909948,8.99125403285636,0.0,0.0,0.0,3.0164604797536185,3.0136935922701014,2.8570181765886318,False
432,IN_RESET,ATU5,-2.5524529444471318,-1.80807443333863,0.3892624516933427,0.0,0.0,0.0,0.22366486474909886,0.12628958376189292,-0.27388144390233826,7.707894967808272,8.033246822032538,6.551078992097686,0.0,0.0,0.0,-0.6396507096797563,-0.4182906485870319,0.1448923579433199,False
432,IN_RESET,MJ3,-5.228179540289707,-4.732486516700465,-0.6755415455060865,0.0,0.0,0.0,0.014671787272327874,-0.14001278125980665,-0.18456113206907787,-3.8192959747157786,-3.2923012394127475,-1.4520819328111063,0.0,0.0,0.0,1.0584494141615224,0.9043040186410494,0.20676723194023516,True
432,IN_RESET,MJ1,-6.490380442946247,-5.759797732881967,-4.061724051183753,0.0,0.0,0.0,0.6119805105890062,0.2000074002839507,0.07973735187128406,-8.176498175504264,-7.873743753000724,-7.864355461764028,0.0,0.0,0.0,-1.3656387017086775,-1.2409701215224374,-1.1426968680224174,True
432,OOF_CARRY,ATU1,-7.844544803856763,-6.022533113425106,-1.0814664134926328,-0.5458298874894725,-0.448906020949734,-0.3908438217771941,-0.05713788688852617,-0.13073953678635508,-0.18357705188966378,9.60136545119601,9.700134828781287,8.663486812125122,-2.3215596145010835,-2.2849119100788045,-1.5700091487981283,1.7400150490789912,1.7317611180545711,1.8435612370744892,False
432,OOF_CARRY,ATU5,-3.0087263462659246,-2.1253120486090773,-0.5725418270496618,-0.30215372216405545,-0.21111575184667142,-0.42832823114227025,-0.20517862092799588,-0.15685812637754692,-0.1699717459680663,8.840296849146796,9.207198558186548,9.612843994600283,-2.3459724392985777,-2.2129534943258875,-1.4142942253009352,1.6634108999288912,1.6269921750948981,1.937425735957163,False
432,OOF_CARRY,MJ3,-5.6077864347945825,-4.95775051181845,-1.4267892319840643,-0.7009964138607941,-0.4460967916054479,-0.38348976608393315,-0.3757490409606846,-0.3238242905866999,-0.29693378876999876,-4.117031542678616,-3.5065327267250996,-2.0476502540601746,-0.17502536607064378,0.0034999908531503365,-0.26968441251472797,-0.5651309953574994,-0.5520033630224059,-0.37497205655816046,True
432,OOF_CARRY,MJ1,-7.319105048350335,-6.194703004767094,-3.662389212697728,-0.6255296656022344,-0.3651602279796068,0.11473036431425943,-0.31006144787417433,-0.23314115457818518,0.3310959053437521,-8.554883637961709,-7.959868818696368,-8.483373513801684,1.487207909651465,1.8207587987198295,1.1040957339006026,-1.462340279309263,-1.2284396905435049,-1.5108092200835097,True
432,OOF_RESET,ATU1,-7.298714916367292,-5.5736270924753715,-0.6906225917154387,0.0,0.0,0.0,0.4886920006009463,0.3181664841633789,0.20726676988753034,11.922925065697093,11.985046738860092,10.23349596092325,0.0,0.0,0.0,4.061574663580075,4.016673028133376,3.4135703858726174,False
432,OOF_RESET,ATU5,-2.7065726241018693,-1.9141962967624058,-0.14421359590739158,0.0,0.0,0.0,0.09697510123605957,0.05425762546912449,0.25835648517420395,11.186269288445374,11.420152052512435,11.027138219901218,0.0,0.0,0.0,4.009383339227469,3.8399456694207856,3.351719961258098,False
432,OOF_RESET,MJ3,-4.906790020933788,-4.511653720213002,-1.0432994659001311,0.0,0.0,0.0,0.3252473729001095,0.12227250101874798,0.08655597731393438,-3.942006176607972,-3.51003271757825,-1.7779658415454467,0.0,0.0,0.0,-0.39010562928685566,-0.5555033538755563,-0.1052876440434325,True
432,OOF_RESET,MJ1,-6.693575382748101,-5.829542776787487,-3.7771195770119874,0.0,0.0,0.0,0.3154682177280601,0.1320190734014216,0.21636554102949268,-10.042091547613174,-9.780627617416197,-9.587469247702286,0.0,0.0,0.0,-2.949548188960728,-3.0491984892633344,-2.6149049539841123,True
612,IN_CARRY,ATU1,-6.017493612525687,-4.821711227473669,1.5014242030481828,-0.8574646446127026,-0.5560724501393,-0.5134692084839507,0.06709690190507978,-0.23618945312525264,0.22285741480175325,7.788554828939826,6.169742148418745,2.7509524998229153,-0.10112605080548853,-0.22160648280788742,-0.49036790420581866,1.263503092636828,0.6178605329016253,0.40903970412450086,False
612,IN_CARRY,ATU5,-7.975840050096927,-6.863472168485567,1.1319245124588235,-0.46317947100293044,-0.3424337248846634,-0.42132149715326506,-0.7721433657742289,-0.7413030508466947,-0.5722604934760085,2.1945361960227716,1.7731706774080163,1.4573430705789079,-0.7525029439071487,-0.24158224797572636,-0.4443333952019941,-0.41370292166972966,-0.44668807286523915,-0.5813654500376089,False
612,IN_CARRY,MJ3,-4.6121609645050725,-4.1319540824830145,-1.6012890009034608,-0.44194358034075576,-0.22266999348397465,-0.1063744220585896,-0.4248701565659413,-0.3969711595705919,0.1099382624677534,2.387420171893268,2.821451510336132,3.6973027636224955,-0.7103714827172425,-0.5475441031701322,-0.4136881106935917,0.6467283151667189,0.16701019625081415,-0.08428102810533744,False
612,IN_CARRY,MJ1,-4.186513960384606,-3.0203729337015,-1.6837802317254837,-0.7159941391706639,-0.4410261657521374,0.610975461018247,-0.7302016553378412,-0.5586645813037109,0.32701705719064655,0.2787618070814446,0.07756172929431138,0.19587898342254206,-0.3104175295280065,-0.12881421177870855,-0.3430238141061501,0.46160677026110264,0.5132224214538983,0.2337299190238138,False
612,IN_RESET,ATU1,-5.160028967912984,-4.265638777334369,2.0148934115321335,0.0,0.0,0.0,0.9245615465177823,0.3198829970140473,0.736326623285704,7.889680879745314,6.3913486312266325,3.241320404028734,0.0,0.0,0.0,1.3646291434423166,0.8394670157095128,0.8994076083303195,False
612,IN_RESET,ATU5,-7.512660579093996,-6.5210384436009035,1.5532460096120886,0.0,0.0,0.0,-0.3089638947712985,-0.3988693259620313,-0.15093899632274344,2.9470391399299203,2.0147529253837426,1.901676465780902,0.0,0.0,0.0,0.338800022237419,-0.2051058248895128,-0.13703205483561476,False
612,IN_RESET,MJ3,-4.170217384164317,-3.9092840889990397,-1.4949145788448712,0.0,0.0,0.0,0.017073423774814467,-0.17430116608661728,0.216312684526343,3.0977916546105106,3.3689956135062644,4.110990874316087,0.0,0.0,0.0,1.3570997978839614,0.7145542994209464,0.32940708258825424,False
612,IN_RESET,MJ1,-3.4705198212139425,-2.579346767949363,-2.2947556927437307,0.0,0.0,0.0,-0.014207516167177303,-0.1176384155515735,-0.2839584038276004,0.5891793366094511,0.20637594107301993,0.5389027975286922,0.0,0.0,0.0,0.7720242997891091,0.6420366332326068,0.5767537331299639,False
612,OOF_CARRY,ATU1,-6.312935714969698,-4.850407106037188,1.778942377082938,-0.8890076340899797,-0.5968038037048378,-0.5754727935930877,0.20174808708774106,0.048250690895117465,0.40810747790958324,15.712768316525388,11.652712273106795,4.592250711923697,-2.387629408767527,-2.3862761558213315,-1.1749547979188861,0.9486974009017857,0.02769546735936146,0.5504811532342373,False
612,OOF_CARRY,ATU5,-7.860808575520462,-6.71695731095905,1.8062094341057815,-0.2615255411310029,-0.20156447762752783,-0.5599745821114581,-0.36264254109852256,-0.4146432564056237,0.38370202545742416,7.216571709275975,5.250392556615817,2.4838878788432197,0.5525782592352453,0.22792120059294518,-0.5930176101415086,4.388883401786498,3.1191569059963653,0.6824858104002374,False
612,OOF_CARRY,MJ3,-4.495534996971953,-4.060423726454704,-1.6362447334319548,-0.4794929955289038,-0.294272247575348,-0.008566481707461548,-0.16196324327022382,-0.18821915363547648,-0.08428493629418954,3.1580022340507625,4.206957226295323,5.015798245055144,0.2735462229636596,-0.29183117110856216,-0.12084211479650264,1.515117903580368,1.462446873992718,1.5912066410155532,False
612,OOF_CARRY,MJ1,-4.178820350726797,-2.982865251885674,-2.50965155853302,-0.514399402512123,-0.36219528243743593,0.24161226265479518,-0.2945773327091006,-0.3098872964063448,-0.3973839723371819,0.5123519509372976,0.19636158105584123,0.664878382953459,-0.22909785609055788,-0.1956472570633725,-0.3395725241024561,1.115235708276522,0.8320009298966298,0.8770080914232672,False
612,OOF_RESET,ATU1,-5.423928080879718,-4.25360330233235,2.3544151706760257,0.0,0.0,0.0,1.0907557211777208,0.6450544945999552,0.9835802715026709,18.100397725292915,14.038988428928127,5.767205509842583,0.0,0.0,0.0,3.3363268096693126,2.413971623180693,1.7254359511531234,False
