Date,MJ9/mm,MJ1/mm,MJ3/mm,ATU4/mm,ATU5/mm,ATU3/mm,ATU2/mm,ATU1/mm,Rainfall/mm,GWT/m,RWL/m,aveT/℃,minT/℃,maxT/℃,DP,RH
2017-05-27,290.07691,762.7104704999753,1031.115524120225,47.88652,120.2039376181266,113.04038,50.65393,85.61288250690068,0.0,278.8071468374784,151.5,25.72222222222222,17.77777777777778,33.5,14.05555555555555,0.4852115755744434
2017-05-28,290.23883,763.6135719966064,1032.332502206779,48.7554,121.4604940616795,114.49551,51.53985,86.4361107873064,0.0,278.879851075672,151.19,26.94444444444444,18.88888888888889,34.72222222222222,16.05555555555556,0.5134855114641543
2017-05-29,290.40329,764.5200818696198,1033.547854183205,49.64194,122.7303264941147,115.95954,52.46111,87.27476570135383,0.0,278.937327517129,150.84,24.11111111111111,20.22222222222222,27.11111111111111,17.27777777777778,0.6565296421815926
2017-05-30,290.57066,765.4296439443202,1034.760164704332,50.54615,124.0128369429609,117.43146,53.41902,88.12959822450833,0.0,278.9788361557414,150.41,25.5,21.5,31.22222222222222,17.72222222222222,0.6215222546082769
2017-05-31,290.74128,766.3419020460121,1035.968018424988,51.46803,125.3074274357465,118.91025,54.41488,89.00135933223524,0.0,279.0036369854011,153.11,25.05555555555555,22.11111111111111,28.22222222222222,19.61111111111111,0.7181903266280804
2017-06-01,290.9155,767.2564999999998,1037.17,52.4076,126.6135,120.3949,55.45,89.8908,0.0,279.01099,148.96,24.77777777777778,21.77777777777778,28.38888888888889,19.55555555555556,0.7276647128273461
2017-06-02,291.0925,768.1730410447939,1038.364965240215,53.35754,127.930621278187,121.8834,56.50861,90.79861086794355,0.0,279.0004459398693,148.31,28.66666666666667,21.72222222222222,35.27777777777778,18.88888888888889,0.555399427038275
2017-06-03,291.27108,769.0909660717269,1039.552854580559,54.3104,129.2590163725208,123.37431,57.5738,91.72524123490926,0.0,278.9727185310975,147.92,24.22222222222222,20.77777777777778,28.0,20.55555555555556,0.8002560662610857
2017-06-04,291.45109,770.0096753853371,1040.733879611977,55.266,130.5990750001519,124.86744,58.64518,92.67108006441615,0.0,278.9288122462124,147.57,20.61111111111111,20.0,21.5,19.94444444444445,0.9596581021941808
2017-06-05,291.63234,770.9285692901631,1041.908251925414,56.22415,131.9511868782306,126.36263,59.72234,93.63651631998314,55.5,278.8697315577417,148.07,20.0,19.22222222222222,20.72222222222222,18.94444444444444,0.9364972285488767
2017-06-06,291.81467,771.847048090743,1043.076183111816,57.18465,133.3157417239072,127.8597,60.80489,94.62193896512926,0.0,278.7964809382133,148.25,24.55555555555556,18.88888888888889,31.22222222222222,18.61111111111111,0.6952209129413127
2017-06-07,291.99791,772.7645120916153,1044.237884762128,58.14731,134.6931292543322,129.35848,61.89243,95.62773696337345,0.0,278.7100648601548,147.96,27.61111111111111,19.88888888888889,35.27777777777778,18.44444444444444,0.5743753581665029
2017-06-08,292.18189,773.6803615973183,1045.393568467294,59.11196,136.0837391866559,130.85881,62.98455,96.6542992782347,0.0,278.6114877960943,147.46,23.33333333333333,22.0,24.5,19.88888888888889,0.8101163674208348
2017-06-09,292.36644,774.5939969123905,1046.543445818261,60.07838,137.4879612380286,132.3605,64.08086,97.70201487323202,0.0,278.5017542185593,146.83,23.72222222222222,21.77777777777778,25.5,21.0,0.8475026789567531
2017-06-10,292.55138,775.5048183413702,1047.687728405972,61.04641,138.9061851256009,133.86339,65.18095,98.77127271188432,16.0,278.3818686000777,146.38,26.27777777777778,22.5,31.27777777777778,22.72222222222222,0.8084796062968985
2017-06-11,292.73655,776.4122261887956,1048.826627821374,62.01584,140.3388005665229,135.3673,66.28444,99.86246175771063,0.0,278.2528354131772,146.51,24.5,22.0,30.22222222222222,20.5,0.7843698552805486
2017-06-12,292.92177,777.3156207592052,1049.960355655412,62.98649,141.7861972779452,136.87206,67.39091,100.9759709742299,0.0,278.1156591303857,146.71,21.83333333333333,21.11111111111111,22.88888888888889,20.77777777777778,0.9373657140425229
2017-06-13,293.10688,778.2144023571374,1051.089123499031,63.95816,143.248764977018,138.37749,68.49997,102.1121893249611,4.5,277.971344224231,146.82,22.16666666666667,20.5,23.77777777777778,17.94444444444444,0.7700783635898768
