fit_days,strategy,seed,initial_anchor_loss,initial_paired_loss,final_anchor_loss,final_paired_loss
342,IN_CARRY,0,0.01335883304087881,0.022657576450818246,0.0006090230815072264,0.00014315386309364124
342,IN_CARRY,1,0.01335883304087881,0.022657576450818246,0.0006887285176160633,0.0001705487086305655
342,IN_CARRY,2,0.01335883304087881,0.022657576450818246,0.0005557938136857487,0.000195332660035509
342,IN_RESET,0,0.01335883304087881,0.022657576450818246,0.0012934712336365756,0.00023409353799488326
342,IN_RESET,1,0.01335883304087881,0.022657576450818246,0.0014833702630880578,0.00038282058801412917
342,IN_RESET,2,0.01335883304087881,0.022657576450818246,0.0015500403009468884,0.000392261311889427
342,OOF_CARRY,0,0.01335883304087881,0.0334503873020123,0.0003283061768929988,0.00014317654225783224
342,OOF_CARRY,1,0.01335883304087881,0.0334503873020123,0.0001854924436017029,0.00017800895331789886
342,OOF_CARRY,2,0.01335883304087881,0.0334503873020123,0.00030259117969423725,0.000205279034279972
342,OOF_RESET,0,0.01335883304087881,0.0334503873020123,0.001333495906675579,0.00012893806484657398
342,OOF_RESET,1,0.01335883304087881,0.0334503873020123,0.0012489464436150409,0.00013083555672903726
342,OOF_RESET,2,0.01335883304087881,0.0334503873020123,0.0011359303326309315,0.00021324595213598102
432,IN_CARRY,0,0.005981883076662482,0.007194894243047841,0.00014194272591523378,0.00013730996062586332
432,IN_CARRY,1,0.005981883076662482,0.007194894243047841,0.0002180890370417486,0.00016323306512705987
432,IN_CARRY,2,0.005981883076662482,0.007194894243047841,0.000142238742012354,0.0001125788093539709
432,IN_RESET,0,0.005981883076662482,0.007194894243047841,0.0005756741832675099,0.0002647299253311931
432,IN_RESET,1,0.005981883076662482,0.007194894243047841,0.0006085147753189157,0.00022771458915388053
432,IN_RESET,2,0.005981883076662482,0.007194894243047841,0.0006260660502933556,0.00022122123490516267
432,OOF_CARRY,0,0.005981883076662482,0.2376597968818887,0.00018886511932888299,0.06247491694669442
432,OOF_CARRY,1,0.005981883076662482,0.2376597968818887,0.0001311444835600011,0.06530523008104504
432,OOF_CARRY,2,0.005981883076662482,0.2376597968818887,0.00019130726377096242,0.061349704739437134
432,OOF_RESET,0,0.005981883076662482,0.2376597968818887,0.0005947268621720188,0.05611893372940909
432,OOF_RESET,1,0.005981883076662482,0.2376597968818887,0.0005633125686826091,0.05959888216258197
432,OOF_RESET,2,0.005981883076662482,0.2376597968818887,0.0005858862503976816,0.04778798123147021
612,IN_CARRY,0,0.0052495560168995285,0.005607775580390343,0.00025759895860044945,0.00021219368394884508
612,IN_CARRY,1,0.0052495560168995285,0.005607775580390343,0.00021588932609825732,0.00014552082525105863
612,IN_CARRY,2,0.0052495560168995285,0.005607775580390343,0.00022380617295803654,0.00013398811169088522
612,IN_RESET,0,0.0052495560168995285,0.005607775580390343,0.0009373429477947987,0.0002402428348000831
612,IN_RESET,1,0.0052495560168995285,0.005607775580390343,0.0009260256410712545,0.0002332648679938864
612,IN_RESET,2,0.0052495560168995285,0.005607775580390343,0.000897024039120926,0.00023569184133288731
612,OOF_CARRY,0,0.0052495560168995285,0.6688828223832632,0.0002781904291080501,0.280398482927108
612,OOF_CARRY,1,0.0052495560168995285,0.6688828223832632,0.00022379871271459176,0.2783830521160616
612,OOF_CARRY,2,0.0052495560168995285,0.6688828223832632,0.00022718148151510466,0.2690934870142647
612,OOF_RESET,0,0.0052495560168995285,0.6688828223832632,0.000981061008165358,0.17758344113943753
612,OOF_RESET,1,0.0052495560168995285,0.6688828223832632,0.0008696806550420379,0.1912481029997696
612,OOF_RESET,2,0.0052495560168995285,0.6688828223832632,0.0009342791803208619,0.21577633467013863
