horizon_days,split,evaluation_role,estimator,subset,actual_level,actual_color,predicted_level,predicted_color,count
1,calibration,chronological_evaluation_only,ngboost,all,0,green,0,green,481
1,calibration,chronological_evaluation_only,ngboost,all,0,green,1,blue,50
1,calibration,chronological_evaluation_only,ngboost,all,0,green,2,yellow,0
1,calibration,chronological_evaluation_only,ngboost,all,0,green,3,orange,0
1,calibration,chronological_evaluation_only,ngboost,all,0,green,4,red,0
1,calibration,chronological_evaluation_only,ngboost,all,1,blue,0,green,69
1,calibration,chronological_evaluation_only,ngboost,all,1,blue,1,blue,767
1,calibration,chronological_evaluation_only,ngboost,all,1,blue,2,yellow,11
1,calibration,chronological_evaluation_only,ngboost,all,1,blue,3,orange,0
1,calibration,chronological_evaluation_only,ngboost,all,1,blue,4,red,0
1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,0,green,0
1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,1,blue,11
1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,2,yellow,273
1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,3,orange,3
1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,4,red,0
1,calibration,chronological_evaluation_only,ngboost,all,3,orange,0,green,0
1,calibration,chronological_evaluation_only,ngboost,all,3,orange,1,blue,0
1,calibration,chronological_evaluation_only,ngboost,all,3,orange,2,yellow,20
1,calibration,chronological_evaluation_only,ngboost,all,3,orange,3,orange,117
1,calibration,chronological_evaluation_only,ngboost,all,3,orange,4,red,6
1,calibration,chronological_evaluation_only,ngboost,all,4,red,0,green,0
1,calibration,chronological_evaluation_only,ngboost,all,4,red,1,blue,0
1,calibration,chronological_evaluation_only,ngboost,all,4,red,2,yellow,0
1,calibration,chronological_evaluation_only,ngboost,all,4,red,3,orange,0
1,calibration,chronological_evaluation_only,ngboost,all,4,red,4,red,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,0,green,531
1,calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,1,blue,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,2,yellow,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,3,orange,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,0,green,4,red,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,0,green,847
1,calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,1,blue,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,2,yellow,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,3,orange,0
1,calibration,chronological_evaluation_only,fit_majority_prior,all,1,blue,4,red,0
