horizon_days,split,evaluation_role,estimator,subset,reliability_kind,class_level,class_color,bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency,class_support,calibration_status
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,5,0.5,0.6000000000000001,28,0.5544096176295905,0.6428571428571429,847,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,6,0.6000000000000001,0.7000000000000001,17,0.6442760737046197,0.7647058823529411,847,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,7,0.7000000000000001,0.8,33,0.7457396077999027,0.696969696969697,847,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,8,0.8,0.9,41,0.8490746420587848,0.7073170731707317,847,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,9,0.9,1.0,709,0.975961007630805,0.9647390691114246,847,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,0,0.0,0.1,1422,0.0014714367353882408,0.0007032348804500703,287,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,1,0.1,0.2,13,0.12032225930844301,0.23076923076923078,287,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,2,0.2,0.30000000000000004,56,0.25412052980487504,0.07142857142857142,287,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,3,0.30000000000000004,0.4,8,0.3532743174244423,0.375,287,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,4,0.4,0.5,5,0.45175354914041144,0.6,287,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,5,0.5,0.6000000000000001,0,,,287,empty_bin
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,6,0.6000000000000001,0.7000000000000001,35,0.6292520124742417,0.8285714285714286,287,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,7,0.7000000000000001,0.8,33,0.7393273620922469,0.5151515151515151,287,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,8,0.8,0.9,25,0.846198095871775,0.8,287,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,9,0.9,1.0,211,0.9507378403662269,0.981042654028436,287,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,0,0.0,0.1,1646,0.00013757526169670624,0.0006075334143377885,143,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,1,0.1,0.2,11,0.13743590247744042,0.36363636363636365,143,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,2,0.2,0.30000000000000004,31,0.2442991568600615,0.6774193548387096,143,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,3,0.30000000000000004,0.4,0,,,143,empty_bin
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,4,0.4,0.5,5,0.4918809144300633,1.0,143,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,5,0.5,0.6000000000000001,0,,,143,empty_bin
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,6,0.6000000000000001,0.7000000000000001,6,0.6367202038434284,0.6666666666666666,143,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,7,0.7000000000000001,0.8,41,0.7275336339931728,0.975609756097561,143,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,8,0.8,0.9,7,0.8633712584600531,1.0,143,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,9,0.9,1.0,61,0.9656640268454517,1.0,143,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,4.0,red,0,0.0,0.1,1790,0.00010580567303650086,,0,no_positive_examples
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,4.0,red,1,0.1,0.2,7,0.10610693895420231,,0,no_positive_examples
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,4.0,red,2,0.2,0.30000000000000004,0,,,0,no_positive_examples
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,4.0,red,3,0.30000000000000004,0.4,0,,,0,no_positive_examples
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,4.0,red,4,0.4,0.5,5,0.4907332168683395,,0,no_positive_examples
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,4.0,red,5,0.5,0.6000000000000001,0,,,0,no_positive_examples
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,4.0,red,6,0.6000000000000001,0.7000000000000001,0,,,0,no_positive_examples
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,4.0,red,7,0.7000000000000001,0.8,6,0.7008772805233513,,0,no_positive_examples
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,4.0,red,8,0.8,0.9,0,,,0,no_positive_examples
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest,4.0,red,9,0.9,1.0,0,,,0,no_positive_examples
1,calibration,chronological_evaluation_only,fit_majority_prior,all,top_label,,,0,0.0,0.1,0,,,1808,empty_bin
1,calibration,chronological_evaluation_only,fit_majority_prior,all,top_label,,,1,0.1,0.2,0,,,1808,empty_bin
