horizon_days,split,evaluation_role,estimator,subset,metric,class_level,class_color,value,numerator,denominator,status
1,calibration,chronological_evaluation_only,ngboost,all,row_count,,,1808.0,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,accuracy,,,0.9059734513274337,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,macro_f1_fixed_five,,,0.7238658695205313,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,macro_f1_supported_classes,,,0.9048323369006641,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,precision,0.0,green,0.8745454545454545,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,recall,0.0,green,0.9058380414312618,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,f1,0.0,green,0.8899167437557817,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,support,0.0,green,531.0,531.0,1808.0,ok
1,calibration,chronological_evaluation_only,ngboost,all,precision,1.0,blue,0.9263285024154589,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,recall,1.0,blue,0.9055489964580874,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,f1,1.0,blue,0.9158208955223881,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,support,1.0,blue,847.0,847.0,1808.0,ok
1,calibration,chronological_evaluation_only,ngboost,all,precision,2.0,yellow,0.8980263157894737,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,recall,2.0,yellow,0.9512195121951219,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,f1,2.0,yellow,0.9238578680203046,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,support,2.0,yellow,287.0,287.0,1808.0,ok
1,calibration,chronological_evaluation_only,ngboost,all,precision,3.0,orange,0.975,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,recall,3.0,orange,0.8181818181818182,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,f1,3.0,orange,0.8897338403041825,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,support,3.0,orange,143.0,143.0,1808.0,ok
1,calibration,chronological_evaluation_only,ngboost,all,precision,4.0,red,,,,absent_target_class
1,calibration,chronological_evaluation_only,ngboost,all,recall,4.0,red,,,,absent_target_class
1,calibration,chronological_evaluation_only,ngboost,all,f1,4.0,red,,,,absent_target_class
1,calibration,chronological_evaluation_only,ngboost,all,support,4.0,red,0.0,0.0,1808.0,absent_target_class
1,calibration,chronological_evaluation_only,ngboost,all,balanced_accuracy_supported_classes,,,0.8951970920665724,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,ordinal_mae,,,0.09402654867256637,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,quadratic_weighted_kappa,,,0.9387926117807495,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,false_escalation_vs_proxy_count,,,70.0,70.0,1808.0,ok
1,calibration,chronological_evaluation_only,ngboost,all,false_escalation_vs_proxy_rate,,,0.03871681415929203,70.0,1808.0,ok
1,calibration,chronological_evaluation_only,ngboost,all,false_deescalation_vs_proxy_count,,,100.0,100.0,1808.0,ok
1,calibration,chronological_evaluation_only,ngboost,all,false_deescalation_vs_proxy_rate,,,0.05530973451327434,100.0,1808.0,ok
1,calibration,chronological_evaluation_only,ngboost,all,multiclass_log_loss,,,0.24831625079996308,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,multiclass_brier,,,0.1430532991988428,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,top_label_ece,,,0.017749824293044114,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,classwise_ece,0.0,green,0.021268871492340954,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_roc_auc,0.0,green,0.9815458783312465,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_pr_auc,0.0,green,0.9609283399285109,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,classwise_ece,1.0,blue,0.019374758224158187,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_roc_auc,1.0,blue,0.9738244916562957,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_pr_auc,1.0,blue,0.9665444760957129,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,classwise_ece,2.0,yellow,0.01968873431562717,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_roc_auc,2.0,yellow,0.9946841776110069,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_pr_auc,2.0,yellow,0.9692790738207239,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,classwise_ece,3.0,orange,0.018047993967704404,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_roc_auc,3.0,orange,0.9965265965265966,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_pr_auc,3.0,orange,0.9800398581239944,,,ok
1,calibration,chronological_evaluation_only,ngboost,all,classwise_ece,4.0,red,,,,no_positive_examples
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_roc_auc,4.0,red,,,,no_positive_examples
1,calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_pr_auc,4.0,red,,,,no_positive_examples
1,calibration,chronological_evaluation_only,fit_majority_prior,all,row_count,,,1808.0,,,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,accuracy,,,0.2936946902654867,,,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,macro_f1_fixed_five,,,0.09080803762291577,,,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,macro_f1_supported_classes,,,0.11351004702864471,,,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,precision,0.0,green,0.2936946902654867,,,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,recall,0.0,green,1.0,,,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,f1,0.0,green,0.45404018811457886,,,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,support,0.0,green,531.0,531.0,1808.0,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,precision,1.0,blue,0.0,,,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,recall,1.0,blue,0.0,,,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,f1,1.0,blue,0.0,,,ok
1,calibration,chronological_evaluation_only,fit_majority_prior,all,support,1.0,blue,847.0,847.0,1808.0,ok
