model,point,n,mae,rmse
BPLUS_CONTINUOUS,ATU1,792,7.7527630996299708,11.894536243565733
BPLUS_CONTINUOUS,ATU5,792,12.042327131745198,16.324050306963144
BPLUS_CONTINUOUS,MJ3,792,11.008136105110776,14.269329433616114
BPLUS_CONTINUOUS,MJ1,792,6.3890630944628786,7.9038144279256217
RR_COND,ATU1,792,5.6522753405896431,9.5760638324347287
RR_COND,ATU5,792,8.6550792385630775,11.456008520587154
RR_COND,MJ3,792,5.0832882247789932,6.57355037980824
RR_COND,MJ1,792,3.4639927698156145,4.4732744683456032
TCN_DIRECT_COND,ATU1,792,17.114856302552496,24.104905126329129
TCN_DIRECT_COND,ATU5,792,17.413989747845584,24.161321948593738
TCN_DIRECT_COND,MJ3,792,15.510359529007863,19.881860623100106
TCN_DIRECT_COND,MJ1,792,14.759682830290854,17.367552795993333
TCN_BRES_COND,ATU1,792,1.9226465803839619,2.9500445656928251
TCN_BRES_COND,ATU5,792,1.9201036156239901,2.6922669875994614
TCN_BRES_COND,MJ3,792,1.2150821678893393,1.6148650140239178
TCN_BRES_COND,MJ1,792,0.83807754984969562,1.0477429948362114
TRANSFORMER_DIRECT_COND,ATU1,792,11.416583682265152,15.169689378505815
TRANSFORMER_DIRECT_COND,ATU5,792,13.887479134588208,16.482887520134135
TRANSFORMER_DIRECT_COND,MJ3,792,8.4804230526655626,10.263798921431977
TRANSFORMER_DIRECT_COND,MJ1,792,10.498650590629477,12.341154727763207
TRANSFORMER_BRES_COND,ATU1,792,0.43806353571555129,0.61913251909853317
TRANSFORMER_BRES_COND,ATU5,792,0.4935543888361289,0.70673732198707717
TRANSFORMER_BRES_COND,MJ3,792,0.20620143354056231,0.27007592014128229
TRANSFORMER_BRES_COND,MJ1,792,0.20712382061491802,0.27412441081787237
CNN_MAMBA_DIRECT_COND,ATU1,792,4.700439489047179,6.8919578171817779
CNN_MAMBA_DIRECT_COND,ATU5,792,8.0977716210501978,10.432690934097943
CNN_MAMBA_DIRECT_COND,MJ3,792,6.9181743565989162,9.5784589759007908
CNN_MAMBA_DIRECT_COND,MJ1,792,5.4455247047027902,7.0542085856634742
CNN_MAMBA_BRES_COND,ATU1,792,0.42727628142506541,0.55470525509912127
CNN_MAMBA_BRES_COND,ATU5,792,0.38708345280835849,0.51411239823957133
CNN_MAMBA_BRES_COND,MJ3,792,0.21482526883962241,0.27445647013370827
CNN_MAMBA_BRES_COND,MJ1,792,0.20016560316002621,0.2571336699768807
