origin,seed,point,metric,data,physics,difference,relative_change
792,ensemble,average,mae,44.666000469922771,13.518404122886677,-31.147596347036092,-0.69734464736797486
792,ensemble,average,rmse,50.874903932964742,14.859012348808477,-36.015891584156265,-0.70793040968907894
792,ensemble,average,crps,33.33372277352403,12.993438640635153,-20.340284132888875,-0.61020139487823877
792,ensemble,average,interval_score90,328.18189714073878,149.81387734262478,-178.36801979811401,-0.54350353067043788
792,ensemble,average,coverage90,0.54863481228668942,0.84812286689419791,0.29948805460750849,0.54587869362363906
792,ensemble,average,width90,114.19995974821128,122.81026493736358,8.6103051891522995,0.075396744518442471
792,ensemble,ATU1,mae,56.57633696107645,19.437054198656945,-37.139282762419505,-0.65644551692999664
792,ensemble,ATU1,rmse,64.901452146815004,20.096112492909594,-44.805339653905406,-0.69035958629323524
792,ensemble,ATU1,crps,42.913323722870523,12.248778071365273,-30.66454565150525,-0.71456934563105579
792,ensemble,ATU1,interval_score90,437.28365242631486,102.31363562418458,-334.97001680213026,-0.76602455852971751
792,ensemble,ATU1,coverage90,0.48805460750853241,1,0.51194539249146764,1.0489510489510492
792,ensemble,ATU1,width90,102.55476736800021,102.31363562418458,-0.24113174381562885,-0.0023512485085199764
792,ensemble,ATU5,mae,82.005153898210466,18.549932770924595,-63.455221127285867,-0.77379552516967598
792,ensemble,ATU5,rmse,94.212783693308324,19.531630609470461,-74.68115308383787,-0.79268598332629736
792,ensemble,ATU5,crps,61.129206340478909,15.136903015618726,-45.992303324860181,-0.75237854502299861
792,ensemble,ATU5,interval_score90,572.5853150384886,172.90611569963085,-399.67919933885776,-0.69802558473228005
792,ensemble,ATU5,coverage90,0.50853242320819114,1,0.49146757679180886,0.96644295302013417
792,ensemble,ATU5,width90,165.28111601296811,172.90611569963085,7.6249996866627328,0.046133520093514235
792,ensemble,MJ3,mae,11.569751202418997,12.979564329723807,1.40981312730481,0.12185336595743279
792,ensemble,MJ3,rmse,12.563859546307244,15.450334430848683,2.886474884541439,0.22974428151656867
792,ensemble,MJ3,crps,9.5535757124868166,10.420657680853786,0.86708196836696949,0.090759941037957814
792,ensemble,MJ3,interval_score90,126.47931544479987,126.37358945619532,-0.10572598860454718,-0.00083591525011605938
792,ensemble,MJ3,coverage90,0.19795221843003413,0.39249146757679182,0.19453924914675769,0.98275862068965525
792,ensemble,MJ3,width90,12.584649958525006,18.359139835150472,5.7744898766254664,0.45885184694499603
792,ensemble,MJ1,mae,28.512759817985174,3.1070651922413637,-25.405694625743809,-0.89102895643649682
792,ensemble,MJ1,rmse,31.821520345428379,4.3579718620051739,-27.463548483423203,-0.86304953959777542
792,ensemble,MJ1,crps,19.738785318259886,14.167415794702828,-5.5713695235570579,-0.282254932799898
792,ensemble,MJ1,interval_score90,176.37930565335179,197.66216859048842,21.282862937136628,0.12066530627445049
792,ensemble,MJ1,coverage90,1,1,0,0
792,ensemble,MJ1,width90,176.37930565335179,197.66216859048842,21.282862937136628,0.12066530627445049
792,0,average,mae,21.898923617600616,8.7042717974729946,-13.194651820127621,-0.60252513093944071
792,0,average,rmse,28.03872596657645,10.859667726163888,-17.179058240412562,-0.61269040044440137
792,0,average,crps,17.4461525225408,13.226991821992293,-4.2191607005485068,-0.2418390355751654
792,0,average,interval_score90,136.30059469992554,185.09701716591132,48.796422465985785,0.35800593954424209
792,0,average,coverage90,0.87798634812286691,0.79948805460750849,-0.078498293515358419,-0.089407191448007794
792,0,average,width90,114.19995974821128,122.81026493736358,8.6103051891522995,0.075396744518442471
792,0,ATU1,mae,26.456983353088116,6.1969084117065156,-20.2600749413816,-0.76577418789571872
792,0,ATU1,rmse,34.611740939009373,8.3531369851490211,-26.258603953860352,-0.758661750072948
792,0,ATU1,crps,19.810846326146606,8.1446234040864276,-11.666222922060179,-0.58888059247943136
792,0,ATU1,interval_score90,136.38800503817598,102.3136356241846,-34.074369413991377,-0.2498340627861938
792,0,ATU1,coverage90,0.79522184300341292,1,0.20477815699658708,0.257510729613734
792,0,ATU1,width90,102.55476736800021,102.3136356241846,-0.24113174381561464,-0.0023512485085198653
792,0,ATU5,mae,45.665172143091127,4.8301886540063848,-40.834983489084742,-0.89422598388831076
792,0,ATU5,rmse,57.938932718986017,7.1789973880665343,-50.759935330919483,-0.8760937240096236
792,0,ATU5,crps,33.605698409456686,12.671092959991874,-20.934605449464811,-0.62294808441099936
792,0,ATU5,interval_score90,219.04965598205305,172.90611569963085,-46.143540282422208,-0.21065333371809902
792,0,ATU5,coverage90,0.76109215017064846,1,0.23890784982935154,0.31390134529147984
792,0,ATU5,width90,165.28111601296811,172.90611569963085,7.6249996866627328,0.046133520093514235
792,0,MJ3,mae,2.6906370607037564,20.798266740680784,18.107629679977027,6.7298670431755818
792,0,MJ3,rmse,3.3068499492559056,24.305043252273467,20.998193303017562,6.3499081074853407
792,0,MJ3,crps,1.892818982152997,17.964618065542929,16.071799083389934,8.490932960271234
792,0,MJ3,interval_score90,13.385412126121377,267.50614874934143,254.12073662322007,18.984901938679069
792,0,MJ3,coverage90,0.95563139931740615,0.19795221843003413,-0.75767918088737196,-0.79285714285714282
792,0,MJ3,width90,12.584649958525006,18.359139835150472,5.7744898766254664,0.45885184694499603
792,0,MJ1,mae,12.782901913519472,2.9917233834982961,-9.7911785300211758,-0.76595898147867469
792,0,MJ1,rmse,16.297380259054499,3.6014932791665339,-12.695886979887966,-0.77901397513470816
792,0,MJ1,crps,14.475246372406911,14.127632858347937,-0.347613514058974,-0.024014341802264805
792,0,MJ1,interval_score90,176.37930565335179,197.66216859048842,21.282862937136628,0.12066530627445049
792,0,MJ1,coverage90,1,1,0,0
792,0,MJ1,width90,176.37930565335179,197.66216859048842,21.282862937136628,0.12066530627445049
792,1,average,mae,36.983250868518887,21.097427113422352,-15.885823755096535,-0.4295410322789921
792,1,average,rmse,42.844776748727867,22.75740148624396,-20.087375262483906,-0.4688407032738322
792,1,average,crps,26.877319756714115,15.729354311530344,-11.147965445183772,-0.41477221486710714
792,1,average,interval_score90,229.5121442413645,137.93798839764909,-91.574155843715403,-0.39899481635887735
792,1,average,coverage90,0.72013651877133111,0.8950511945392492,0.17491467576791808,0.24289099526066349
792,1,average,width90,114.19995974821128,122.81026493736358,8.6103051891522995,0.075396744518442471
792,1,ATU1,mae,46.220772265666909,30.89608689188972,-15.324685373777189,-0.3315540745553589
792,1,ATU1,rmse,54.315229535088349,32.399442352192068,-21.915787182896281,-0.40349248950035999
792,1,ATU1,crps,34.242739946633904,19.45515072591078,-14.787589220723124,-0.43184596921184049
792,1,ATU1,interval_score90,309.41973870025458,102.31363562418458,-207.10610307606999,-0.66933707573420431
792,1,ATU1,coverage90,0.55290102389078499,1,0.44709897610921501,0.80864197530864201
792,1,ATU1,width90,102.55476736800021,102.31363562418458,-0.24113174381562885,-0.0023512485085199764
792,1,ATU5,mae,70.074210380310177,33.786768932043735,-36.287441448266442,-0.51784303028639878
792,1,ATU5,rmse,81.122483453252585,35.56640801823054,-45.556075435022045,-0.56157150885640794
792,1,ATU5,crps,50.960426754393161,21.461025365377555,-29.499401389015606,-0.57886880600882218
792,1,ATU5,interval_score90,409.56503900737601,172.90611569963085,-236.65892330774517,-0.57782989456647216
792,1,ATU5,coverage90,0.55972696245733788,1,0.44027303754266212,0.78658536585365857
792,1,ATU5,width90,165.28111601296811,172.90611569963085,7.6249996866627328,0.046133520093514235
792,1,MJ3,mae,4.1841151372230163,9.0372171640380863,4.85310202681507,1.1598873041615336
792,1,MJ3,rmse,5.1408394754646096,11.381514978154987,6.2406755026903777,1.2139409395050929
792,1,MJ3,crps,3.0036443761424332,7.0579135434409643,4.0542691672985312,1.3497833496871592
792,1,MJ3,interval_score90,22.684493604475513,78.870033676292493,56.18554007181698,2.4768258463892669
792,1,MJ3,coverage90,0.76791808873720135,0.58020477815699656,-0.1877133105802048,-0.24444444444444446
792,1,MJ3,width90,12.584649958525006,18.359139835150472,5.7744898766254664,0.45885184694499603
792,1,MJ1,mae,27.453905690875445,10.669635465717869,-16.784270225157577,-0.61136183733362137
792,1,MJ1,rmse,30.800554531105931,11.682240596398259,-19.118313934707672,-0.62071330291796556
792,1,MJ1,crps,19.30246794968695,14.943327611392077,-4.359140338294873,-0.22583331570124798
792,1,MJ1,interval_score90,176.37930565335179,197.66216859048842,21.282862937136628,0.12066530627445049
792,1,MJ1,coverage90,1,1,0,0
792,1,MJ1,width90,176.37930565335179,197.66216859048842,21.282862937136628,0.12066530627445049
792,2,average,mae,76.869435328444553,20.613433695170034,-56.256001633274522,-0.73183836193028085
792,2,average,rmse,84.383584687374722,22.712712884355135,-61.670871803019587,-0.73083967730807531
792,2,average,crps,61.756828060817142,15.247697105575678,-46.50913095524146,-0.75310103215534341
792,2,average,interval_score90,785.07280695026236,135.86313116483998,-649.20967578542241,-0.82694199829360859
792,2,average,coverage90,0.37372013651877134,0.90443686006825941,0.53071672354948807,1.4200913242009134
792,2,average,width90,114.19995974821128,122.81026493736358,8.6103051891522995,0.075396744518442471
792,2,ATU1,mae,97.455027178854223,32.120496846893573,-65.33453033196065,-0.6704069787190714
792,2,ATU1,rmse,107.40073755778172,33.257359862039081,-74.143377695742643,-0.6903432823806579
792,2,ATU1,crps,81.093630665182175,20.042529037438161,-61.051101627744018,-0.75284706242603239
792,2,ATU1,interval_score90,1097.0317968314002,102.55063819410749,-994.48115863729276,-0.90651990353396461
792,2,ATU1,coverage90,0.20477815699658702,0.9965870307167235,0.79180887372013653,3.8666666666666663
792,2,ATU1,width90,102.55476736800026,102.31363562418458,-0.24113174381567148,-0.0023512485085204204
792,2,ATU5,mae,130.73749212602959,24.359676040670287,-106.37781608535931,-0.81367490193870473
792,2,ATU5,rmse,145.10867678438609,25.719718141271052,-119.38895864311505,-0.82275547740341237
792,2,ATU5,crps,105.45234483635426,17.17448540675597,-88.277859429598294,-0.83713510179969808
792,2,ATU5,interval_score90,1306.7338367547238,172.90611569963085,-1133.827721055093,-0.86768069301010564
792,2,ATU5,coverage90,0.27303754266211605,1,0.72696245733788389,2.6625000000000001
792,2,ATU5,width90,165.28111601296811,172.90611569963085,7.6249996866627328,0.046133520093514235
792,2,MJ3,mae,33.645065144307566,9.2360137594579523,-24.409051384849612,-0.72548682192043246
792,2,MJ3,rmse,35.804603417680141,11.271513422770211,-24.533089994909929,-0.68519373636730774
792,2,MJ3,crps,31.49491695143313,6.9787024261023678,-24.51621452533076,-0.77841813531802906
792,2,MJ3,interval_score90,560.14628856157378,70.333602175133194,-489.81268638644059,-0.8744370825775778
792,2,MJ3,coverage90,0.017064846416382253,0.62116040955631402,0.60409556313993173,35.399999999999999
792,2,MJ3,width90,12.584649958525006,18.359139835150472,5.7744898766254664,0.45885184694499603
792,2,MJ1,mae,45.6401568645868,16.737548133658326,-28.902608730928474,-0.63327145909427496
792,2,MJ1,rmse,49.220320989650922,20.602260111340197,-28.618060878310725,-0.58142775794428414
792,2,MJ1,crps,28.986419790299006,16.795071552006213,-12.191348238292793,-0.42058827293920986
792,2,MJ1,interval_score90,176.37930565335179,197.66216859048842,21.282862937136628,0.12066530627445049
792,2,MJ1,coverage90,1,1,0,0
792,2,MJ1,width90,176.37930565335179,197.66216859048842,21.282862937136628,0.12066530627445049
972,ensemble,average,mae,29.347517396196004,11.099898674476766,-18.247618721719238,-0.62177725207122547
972,ensemble,average,rmse,33.672205314030215,12.114521209952596,-21.557684104077619,-0.64022192496834074
972,ensemble,average,crps,19.839421485169908,9.0314631698232937,-10.807958315346614,-0.54477184848487803
972,ensemble,average,interval_score90,139.14912280969344,106.18342046257834,-32.965702347115098,-0.2369091639348706
972,ensemble,average,coverage90,1,0.68003412969283283,-0.31996587030716717,-0.31996587030716717
972,ensemble,average,width90,139.14912280969344,48.561148427274922,-90.587974382418508,-0.65101362159724629
972,ensemble,ATU1,mae,33.434211327924892,11.709617830133315,-21.724593497791577,-0.64977137593333278
972,ensemble,ATU1,rmse,38.192534550845004,13.190527007293481,-25.002007543551521,-0.6546307501605273
972,ensemble,ATU1,crps,22.561441129830644,8.2768011402999768,-14.284639989530667,-0.63314395154676428
972,ensemble,ATU1,interval_score90,168.05601661298897,75.809074093366661,-92.246942519622309,-0.54890592064939248
972,ensemble,ATU1,coverage90,1,1,0,0
972,ensemble,ATU1,width90,168.05601661298897,75.809074093366661,-92.246942519622309,-0.54890592064939248
972,ensemble,ATU5,mae,54.870790635884987,5.6837782091130116,-49.187012426771972,-0.89641523033940262
972,ensemble,ATU5,rmse,61.666810138916212,6.1446778525567831,-55.52213228635943,-0.90035680719150657
972,ensemble,ATU5,crps,36.230935578788383,6.1883554123595186,-30.042580166428863,-0.8291969193314862
972,ensemble,ATU5,interval_score90,252.58515195626231,78.27205298256149,-174.31309897370082,-0.69011617517361001
972,ensemble,ATU5,coverage90,1,1,0,0
972,ensemble,ATU5,width90,252.58515195626231,78.27205298256149,-174.31309897370082,-0.69011617517361001
972,ensemble,MJ3,mae,5.3022357610264219,13.509819269421429,8.2075835083950075,1.5479476730786033
972,ensemble,MJ3,rmse,7.2567149379599982,14.691897617238343,7.4351826792783449,1.0245934617584025
972,ensemble,MJ3,crps,4.4857309961109184,9.1971822377679189,4.7114512416570005,1.0503196125094836
972,ensemble,MJ3,interval_score90,40.978488629986401,54.961125599947984,13.982636969961582,0.34121895261236301
972,ensemble,MJ3,coverage90,1,0.66894197952218426,-0.33105802047781574,-0.33105802047781574
972,ensemble,MJ3,width90,40.978488629986401,33.958927272341953,-7.0195613576444487,-0.17129868846621688
972,ensemble,MJ1,mae,23.782831859947724,13.496379389239308,-10.286452470708415,-0.43251588083720427
972,ensemble,MJ1,rmse,27.572761628399657,14.430982362721775,-13.141779265677883,-0.47662179954226958
972,ensemble,MJ1,crps,16.07957823594969,12.46351388886576,-3.6160643470839293,-0.22488552212143009
972,ensemble,MJ1,interval_score90,94.976834039536186,215.69142917443722,120.71459513490103,1.2709898824870383
972,ensemble,MJ1,coverage90,1,0.051194539249146756,-0.94880546075085326,-0.94880546075085326
972,ensemble,MJ1,width90,94.976834039536186,6.2045393608295853,-88.772294678706601,-0.93467312925753232
972,0,average,mae,35.871717698195113,15.367315754307533,-20.504401943887579,-0.5716035712702785
972,0,average,rmse,40.607902006814477,17.043946882248456,-23.563955124566021,-0.58028004304708269
972,0,average,crps,24.192426824779481,12.467376543161979,-11.725050281617502,-0.48465787936611349
972,0,average,interval_score90,145.58079464440607,166.43519447088079,20.854399826474719,0.14324966337361622
972,0,average,coverage90,0.93515358361774747,0.6774744027303754,-0.25767918088737207,-0.27554744525547448
972,0,average,width90,139.14912280969349,48.561148427274922,-90.587974382418565,-0.65101362159724641
972,0,ATU1,mae,41.648033591212318,10.992989379247298,-30.65504421196502,-0.73605021818924954
972,0,ATU1,rmse,46.817876507130535,12.594394511381596,-34.223481995748941,-0.73099176103248886
972,0,ATU1,crps,27.431239600822675,8.0259675943834541,-19.405272006439219,-0.70741505993980847
972,0,ATU1,interval_score90,168.05601661298897,75.809074093366661,-92.246942519622309,-0.54890592064939248
972,0,ATU1,coverage90,1,1,0,0
972,0,ATU1,width90,168.05601661298897,75.809074093366661,-92.246942519622309,-0.54890592064939248
972,0,ATU5,mae,67.234800823539288,11.360263149900979,-55.874537673638308,-0.83103596633361798
972,0,ATU5,rmse,75.164434102983705,12.283141992593283,-62.881292110390419,-0.83658305767640051
972,0,ATU5,crps,44.24207081064209,8.0164307532525783,-36.225640057389512,-0.81880525467347054
972,0,ATU5,interval_score90,252.58515195626231,78.27205298256149,-174.31309897370082,-0.69011617517361001
972,0,ATU5,coverage90,1,1,0,0
972,0,ATU5,width90,252.58515195626231,78.27205298256149,-174.31309897370082,-0.69011617517361001
972,0,MJ3,mae,3.5795814518621443,13.714052096638625,10.134470644776481,2.831188724453916
972,0,MJ3,rmse,4.5743376706900758,15.022361901960815,10.44802423127074,2.2840518089025488
972,0,MJ3,crps,3.5629127967753256,9.4527667448149852,5.8898539480396597,1.6531007869096239
972,0,MJ3,interval_score90,40.978488629986487,57.328516678693163,16.350028048706676,0.39899050929717195
972,0,MJ3,coverage90,1,0.64163822525597269,-0.35836177474402731,-0.35836177474402731
972,0,MJ3,width90,40.978488629986487,33.958927272341953,-7.0195613576445339,-0.17129868846621854
972,0,MJ1,mae,31.024454926166698,25.401958391443234,-5.6224965347234637,-0.18122789096872505
972,0,MJ1,rmse,35.874959746453598,28.275889123058132,-7.5990706233954661,-0.21182102160119265
972,0,MJ1,crps,21.533484090877838,24.374341080196896,2.8408569893190574,0.13192741951696152
972,0,MJ1,interval_score90,120.70352137838648,454.33113412890191,333.62761275051542,2.7640255142569168
972,0,MJ1,coverage90,0.74061433447098979,0.068259385665529013,-0.67235494880546076,-0.90783410138248843
972,0,MJ1,width90,94.976834039536229,6.2045393608295853,-88.772294678706643,-0.93467312925753232
972,1,average,mae,17.427054821685402,6.5787213450289226,-10.84833347665648,-0.62249953234538102
972,1,average,rmse,19.974764845207904,7.667474936111347,-12.307289909096557,-0.61614191728766055
972,1,average,crps,13.973600620023575,5.2882979143089344,-8.6853027057146406,-0.62155080439818577
972,1,average,interval_score90,143.05577918524875,50.926289157944097,-92.129490027304655,-0.64401096238134103
972,1,average,coverage90,0.92918088737201365,0.92576791808873726,-0.0034129692832763903,-0.0036730945821854544
972,1,average,width90,139.14912280969349,48.561148427274929,-90.587974382418565,-0.65101362159724641
972,1,ATU1,mae,15.660646141337894,4.9526661381004748,-10.70798000323742,-0.68375084313875145
972,1,ATU1,rmse,18.143803803450908,5.6237960127944522,-12.520007790656456,-0.69004316439285907
972,1,ATU1,crps,14.464547946377092,5.9279212441735432,-8.5366267022035487,-0.59017583776904003
972,1,ATU1,interval_score90,168.05601661298897,75.809074093366689,-92.24694251962228,-0.54890592064939225
972,1,ATU1,coverage90,1,1,0,0
972,1,ATU1,width90,168.05601661298897,75.809074093366689,-92.24694251962228,-0.54890592064939225
972,1,ATU5,mae,29.173108887509553,14.859901528961077,-14.313207358548476,-0.49063016950780536
972,1,ATU5,rmse,32.263202796174824,17.209621803018283,-15.05358099315654,-0.4665866897424491
972,1,ATU5,crps,23.237252483075224,10.215442834690096,-13.021809648385128,-0.56038508243904994
972,1,ATU5,interval_score90,252.58515195626231,78.27205298256149,-174.31309897370082,-0.69011617517361001
972,1,ATU5,coverage90,1,1,0,0
972,1,ATU5,width90,252.58515195626231,78.27205298256149,-174.31309897370082,-0.69011617517361001
972,1,MJ3,mae,11.934035689499202,4.2090553499814094,-7.7249803395177929,-0.6473066228815646
972,1,MJ3,rmse,14.628005893876979,4.8972086948545321,-9.7307971990224473,-0.66521693179625974
972,1,MJ3,crps,8.5021509132865489,3.3058782777552085,-5.19627263553134,-0.61117153630041776
972,1,MJ3,interval_score90,56.605114132207554,33.958927272341953,-22.646186859865601,-0.4000731595907201
972,1,MJ3,coverage90,0.71672354948805461,1,0.28327645051194539,0.39523809523809517
972,1,MJ3,width90,40.978488629986472,33.958927272341953,-7.0195613576445197,-0.17129868846621821
972,1,MJ1,mae,12.94042856839495,2.2932623630727331,-10.647166205322216,-0.82278312105723594
972,1,MJ1,rmse,14.864046887328914,2.9392732337781151,-11.924773653550799,-0.80225619200086462
972,1,MJ1,crps,9.690451137355435,1.7039493006168862,-7.9865018367385492,-0.8241620254346691
972,1,MJ1,interval_score90,94.9768340395362,15.665102283506252,-79.311731756029943,-0.83506396647223147
972,1,MJ1,coverage90,1,0.70307167235494883,-0.29692832764505117,-0.29692832764505117
