station,candidate_window_days,method,source,start_date,end_date,stage_duration_days,v_eq_mm_per_day,median_rate_mm_per_day,rate_mad_mm_per_day,mean_abs_accel_mm_per_day2,n_rate_samples,alpha_green_days,alpha_yellow_days,alpha_orange_days,alpha_red_days,alpha_agreement_rate_vs_30d,fusion_green_days,fusion_yellow_days,fusion_orange_days,fusion_red_days,fusion_upgraded_days,fusion_agreement_rate_vs_30d,fusion_reason_v0_green_days,fusion_reason_alpha_watch_days,fusion_reason_multi_station_confirmed_days,fusion_reason_multi_scale_confirmed_days,fusion_reason_v0_alpha_consistent_days,fusion_reason_v0_primary_days
MJ3,30,automatic_candidate,automatic_30d,2017-06-19,2017-07-19,30,1.0715586255719018,1.0719397086214713,0.010536108988958404,0.0018819457737930046,30,1373,82,0,0,1.0,157,870,155,249,1192,1.0,157,263,711,218,82,0
ATU1,30,automatic_candidate,automatic_30d,2017-04-15,2017-05-15,30,0.677024164730597,0.6792224401910367,0.0068536889926420486,0.004224227417391399,30,1258,165,32,0,1.0,157,870,155,249,1192,1.0,157,263,711,218,82,0
ATU2,30,automatic_candidate,automatic_30d,2017-01-02,2017-02-01,30,0.04887733333333332,0.04888000000000048,0.0,2.758620690530796e-06,30,563,641,98,153,1.0,157,870,155,249,1192,1.0,157,263,711,218,82,0
ATU3,30,automatic_candidate,automatic_30d,2018-07-04,2018-08-03,30,0.1,0.10000000000002274,0.0,4.312259361854401e-14,30,504,644,157,150,1.0,157,870,155,249,1192,1.0,157,263,711,218,82,0
ATU4,30,automatic_candidate,automatic_30d,2018-07-09,2018-08-08,30,0.022580333333333633,0.02258000000000493,0.0,6.896551785130527e-07,30,379,648,155,273,1.0,157,870,155,249,1192,1.0,157,263,711,218,82,0
ATU5,30,automatic_candidate,automatic_30d,2019-05-18,2019-06-17,30,0.302680575601092,0.30486925773789153,0.00572404528890047,0.0016991728271101426,30,1027,364,31,33,1.0,157,870,155,249,1192,1.0,157,263,711,218,82,0
MJ9,60,automatic_candidate,automatic_60d,2017-07-03,2017-09-01,60,0.1522580000000005,0.1522600000000125,0.0,3.898305098989683e-06,60,996,459,0,0,1.0,8,890,276,257,1399,0.8057302585604472,8,196,927,276,24,0
MJ1,60,automatic_candidate,automatic_60d,2018-10-03,2018-12-02,60,0.05860797404569666,0.05908248715189757,0.0015245506238557027,0.00046542954249092626,60,369,749,265,72,0.2536082474226804,8,890,276,257,1399,0.8057302585604472,8,196,927,276,24,0
MJ3,60,automatic_candidate,automatic_60d,2019-04-02,2019-06-01,60,0.09645350265299915,0.09592509407150374,0.0018662615814264427,0.0005593803192461287,60,630,664,102,59,0.4329896907216495,8,890,276,257,1399,0.8057302585604472,8,196,927,276,24,0
ATU1,60,automatic_candidate,automatic_60d,2017-04-15,2017-06-14,60,0.7819694203109371,0.6976285080302453,0.031218096908425252,0.010013529375477623,60,1302,124,29,0,0.9676975945017182,8,890,276,257,1399,0.8057302585604472,8,196,927,276,24,0
ATU2,60,automatic_candidate,automatic_60d,2016-12-01,2017-01-30,60,0.04887600000000004,0.04888000000000048,0.0,4.237288136155392e-06,60,563,641,98,153,1.0,8,890,276,257,1399,0.8057302585604472,8,196,927,276,24,0
ATU3,60,automatic_candidate,automatic_60d,2018-07-01,2018-08-30,60,0.1,0.10000000000002274,0.0,4.624549331048788e-14,60,504,644,157,150,1.0,8,890,276,257,1399,0.8057302585604472,8,196,927,276,24,0
ATU4,60,automatic_candidate,automatic_60d,2018-07-01,2018-08-30,60,0.02258066666666707,0.02258000000000493,0.0,1.3559322057471174e-06,60,379,648,155,273,1.0,8,890,276,257,1399,0.8057302585604472,8,196,927,276,24,0
ATU5,60,automatic_candidate,automatic_60d,2019-06-29,2019-08-28,60,0.1678592666431579,0.16624616540059378,0.008610337180300576,0.002168001771628874,60,826,417,167,45,0.7518900343642612,8,890,276,257,1399,0.8057302585604472,8,196,927,276,24,0
